Gender,false,Work,agriculteur,Age,0:15,31,0
Gender,false,Work,artisant,Age,0:15,29,40
Gender,false,Work,commercant,Age,0:15,28,32
Gender,false,Work,conducteur,Age,0:15,25,16
Gender,false,Work,ecolier,Age,0:15,33,0
Gender,false,Work,employe_prive,Age,0:15,44,32
Gender,false,Work,enseignant,Age,0:15,33,53
Gender,false,Work,militaire,Age,0:15,38,38
Gender,false,Work,ouvrier,Age,0:15,34,26
Gender,false,Work,ouvrier_agricole,Age,0:15,30,0
Gender,false,Work,ouvrier_batiment,Age,0:15,28,31
Gender,false,Work,retraite,Age,0:15,27,0
Gender,false,Work,sans_activite,Age,0:15,37,24
Gender,true,Work,agriculteur,Age,0:15,29,21
Gender,true,Work,artisant,Age,0:15,35,0
Gender,true,Work,commercant,Age,0:15,35,28
Gender,true,Work,conducteur,Age,0:15,26,0
Gender,true,Work,ecolier,Age,0:15,31,36
Gender,true,Work,employe_prive,Age,0:15,28,38
Gender,true,Work,enseignant,Age,0:15,36,36
Gender,true,Work,militaire,Age,0:15,32,34
Gender,true,Work,ouvrier,Age,0:15,48,28
Gender,true,Work,ouvrier_agricole,Age,0:15,31,55
Gender,true,Work,ouvrier_batiment,Age,0:15,30,39
Gender,true,Work,retraite,Age,0:15,42,96
Gender,true,Work,sans_activite,Age,0:15,30,33
Gender,false,Work,agriculteur,Age,16:20,43,0
Gender,false,Work,artisant,Age,16:20,14,0
Gender,false,Work,commercant,Age,16:20,28,21
Gender,false,Work,conducteur,Age,16:20,37,0
Gender,false,Work,ecolier,Age,16:20,31,31
Gender,false,Work,employe_prive,Age,16:20,36,37
Gender,false,Work,enseignant,Age,16:20,31,0
Gender,false,Work,militaire,Age,16:20,39,31
Gender,false,Work,ouvrier,Age,16:20,34,79
Gender,false,Work,ouvrier_agricole,Age,16:20,38,33
Gender,false,Work,ouvrier_batiment,Age,16:20,31,28
Gender,false,Work,retraite,Age,16:20,46,55
Gender,false,Work,sans_activite,Age,16:20,31,0
Gender,true,Work,agriculteur,Age,16:20,34,33
Gender,true,Work,artisant,Age,16:20,30,0
Gender,true,Work,commercant,Age,16:20,31,26
Gender,true,Work,conducteur,Age,16:20,42,41
Gender,true,Work,ecolier,Age,16:20,28,33
Gender,true,Work,employe_prive,Age,16:20,45,45
Gender,true,Work,enseignant,Age,16:20,42,37
Gender,true,Work,militaire,Age,16:20,40,53
Gender,true,Work,ouvrier,Age,16:20,34,34
Gender,true,Work,ouvrier_agricole,Age,16:20,29,32
Gender,true,Work,ouvrier_batiment,Age,16:20,32,28
Gender,true,Work,retraite,Age,16:20,34,34
