age,gender,work
68,false,sans_activite
46,true,ouvrier_agricole
86,true,conducteur
19,true,artisant
32,false,ecolier
24,false,conducteur
28,false,ouvrier
70,true,ouvrier
22,false,retraite
51,true,commercant
57,false,retraite
77,false,retraite
24,true,ecolier
23,false,commercant
76,true,sans_activite
77,true,commercant
17,false,ouvrier
66,false,agriculteur
71,true,retraite
94,false,ouvrier_batiment
14,false,ouvrier_batiment
13,true,enseignant
11,true,ouvrier
26,true,conducteur
39,false,ouvrier_agricole
95,false,commercant
60,true,ouvrier_batiment
27,false,commercant
22,false,commercant
77,false,militaire
59,false,retraite
96,true,agriculteur
72,true,ouvrier_batiment
13,false,employe_prive
77,false,militaire
57,false,ouvrier_batiment
20,false,employe_prive
28,true,militaire
19,false,ouvrier_batiment
23,false,conducteur
88,false,artisant
9,true,agriculteur
34,true,employe_prive
51,false,commercant
75,false,sans_activite
21,false,artisant
41,false,militaire
35,true,ecolier
59,true,militaire
21,true,conducteur
15,false,conducteur
96,false,retraite
16,false,agriculteur
52,false,ouvrier_agricole
64,false,artisant
4,false,employe_prive
36,true,retraite
76,true,retraite
29,false,agriculteur
56,true,commercant
5,false,ouvrier
48,true,commercant
79,true,ecolier
28,true,ouvrier_batiment
67,false,ecolier
1,false,ouvrier_agricole
29,false,artisant
100,true,employe_prive
71,true,sans_activite
30,true,conducteur
22,true,enseignant
47,false,ecolier
96,false,ecolier
88,false,sans_activite
92,false,ouvrier_batiment
23,true,ouvrier_batiment
29,true,agriculteur
37,false,agriculteur
17,true,ouvrier
26,false,ouvrier_agricole
57,false,agriculteur
82,true,employe_prive
78,false,militaire
25,false,artisant
19,true,retraite
55,false,retraite
77,false,ouvrier
21,false,sans_activite
10,true,ouvrier
59,true,ouvrier
17,true,enseignant
8,false,sans_activite
13,true,ouvrier_agricole
38,false,commercant
20,false,conducteur
24,true,sans_activite
2,true,artisant
89,false,militaire
90,true,militaire
86,false,employe_prive
98,true,ouvrier_batiment
34,false,agriculteur
99,true,agriculteur
58,true,commercant
49,true,commercant
58,false,agriculteur
30,true,ouvrier
78,true,employe_prive
1,false,ouvrier_agricole
55,true,conducteur
42,false,artisant
2,true,ecolier
50,true,sans_activite
24,true,employe_prive
60,false,conducteur
96,true,ouvrier
85,false,employe_prive
81,true,ouvrier_batiment
20,true,retraite
75,true,ouvrier_batiment
26,true,ouvrier_agricole
16,true,conducteur
6,false,ecolier
3,false,enseignant
38,true,enseignant
77,true,militaire
64,true,employe_prive
24,false,agriculteur
21,true,ouvrier_batiment
89,false,artisant
11,true,enseignant
72,false,enseignant
21,true,agriculteur
26,true,conducteur
20,false,commercant
58,false,militaire
45,false,agriculteur
51,false,sans_activite
32,false,retraite
19,true,sans_activite
4,false,ouvrier_agricole
2,true,employe_prive
68,true,ouvrier_agricole
48,true,retraite
96,true,conducteur
78,true,enseignant
26,false,conducteur
99,false,enseignant
62,true,commercant
23,false,militaire
16,false,employe_prive
51,true,agriculteur
63,false,employe_prive
64,true,conducteur
73,false,artisant
68,false,sans_activite
29,false,ouvrier_agricole
62,false,employe_prive
81,false,commercant
27,true,enseignant
81,false,artisant
77,false,ouvrier_agricole
51,false,agriculteur
79,false,employe_prive
41,true,enseignant
40,false,retraite
94,false,retraite
51,false,ouvrier_batiment
55,true,sans_activite
69,false,enseignant
29,true,ecolier
17,true,ecolier
78,false,ecolier
30,true,commercant
83,false,ouvrier_batiment
79,false,conducteur
80,true,agriculteur
60,false,conducteur
11,true,ecolier
67,true,retraite
27,false,enseignant
42,false,employe_prive
18,true,agriculteur
54,true,sans_activite
2,true,commercant
54,true,sans_activite
31,false,militaire
32,false,enseignant
79,true,retraite
73,false,commercant
30,true,ouvrier_agricole
79,true,ouvrier
53,false,ouvrier_batiment
97,true,ouvrier
51,false,agriculteur
45,false,militaire
77,false,commercant
80,true,enseignant
95,true,agriculteur
33,true,ecolier
33,true,ouvrier_batiment
77,true,ouvrier_agricole
14,false,sans_activite
77,true,ouvrier_agricole
42,false,ouvrier
97,false,artisant
1,true,ouvrier
54,true,ouvrier
46,false,ouvrier_agricole
64,true,retraite
84,true,ecolier
0,true,militaire
59,true,commercant
41,true,ouvrier_agricole
25,true,sans_activite
56,true,sans_activite
22,false,ecolier
16,true,commercant
42,false,militaire
26,false,artisant
26,true,militaire
24,false,commercant
30,true,ouvrier_agricole
18,false,commercant
20,true,retraite
100,true,enseignant
71,true,enseignant
29,false,sans_activite
78,false,agriculteur
20,false,ouvrier
78,false,commercant
22,false,agriculteur
73,true,ecolier
16,false,ecolier
8,false,ecolier
91,false,ouvrier_batiment
27,true,conducteur
26,false,employe_prive
75,false,enseignant
10,true,conducteur
10,false,commercant
57,false,ouvrier
87,true,militaire
65,true,ouvrier_agricole
73,false,retraite
96,false,ouvrier_agricole
31,false,sans_activite
46,false,sans_activite
59,false,sans_activite
46,false,militaire
86,true,commercant
91,false,artisant
37,false,sans_activite
62,true,agriculteur
21,false,enseignant
