HouseholdSize:Output,Household Income:Output,Household Type:Output,Number Of Cars:Output,Frequency
1,High,type1,0,116
1,High,type1,1,115
1,High,type1,2,132
1,High,type1,3,127
1,High,type2,0,137
1,High,type2,1,130
1,High,type2,2,165
1,High,type2,3,188
1,High,type3,0,140
1,High,type3,1,83
1,High,type3,2,169
1,High,type3,3,133
1,Low,type1,0,114
1,Low,type1,1,144
1,Low,type1,2,126
1,Low,type1,3,151
1,Low,type2,0,156
1,Low,type2,1,164
1,Low,type2,2,160
1,Low,type2,3,158
1,Low,type3,0,158
1,Low,type3,1,162
1,Low,type3,2,125
1,Low,type3,3,182
2,High,type1,0,142
2,High,type1,1,117
2,High,type1,2,148
2,High,type1,3,161
2,High,type2,0,153
2,High,type2,1,141
2,High,type2,2,144
2,High,type2,3,130
2,High,type3,0,148
2,High,type3,1,122
2,High,type3,2,105
2,High,type3,3,147
2,Low,type1,0,146
2,Low,type1,1,156
2,Low,type1,2,162
2,Low,type1,3,134
2,Low,type2,0,122
2,Low,type2,1,153
2,Low,type2,2,104
2,Low,type2,3,148
2,Low,type3,0,127
2,Low,type3,1,165
2,Low,type3,2,126
2,Low,type3,3,145
3,High,type1,0,146
3,High,type1,1,134
3,High,type1,2,97
3,High,type1,3,131
3,High,type2,0,94
3,High,type2,1,123
3,High,type2,2,127
3,High,type2,3,139
3,High,type3,0,119
3,High,type3,1,157
3,High,type3,2,106
3,High,type3,3,135
3,Low,type1,0,97
3,Low,type1,1,195
3,Low,type1,2,155
3,Low,type1,3,169
3,Low,type2,0,111
3,Low,type2,1,116
3,Low,type2,2,147
3,Low,type2,3,104
3,Low,type3,0,177
3,Low,type3,1,145
3,Low,type3,2,158
3,Low,type3,3,143
4,High,type1,0,106
4,High,type1,1,124
4,High,type1,2,159
4,High,type1,3,188
4,High,type2,0,143
4,High,type2,1,178
4,High,type2,2,173
4,High,type2,3,121
4,High,type3,0,116
4,High,type3,1,180
4,High,type3,2,89
4,High,type3,3,134
4,Low,type1,0,126
4,Low,type1,1,157
4,Low,type1,2,106
4,Low,type1,3,123
4,Low,type2,0,135
4,Low,type2,1,159
4,Low,type2,2,160
4,Low,type2,3,96
4,Low,type3,0,87
4,Low,type3,1,141
4,Low,type3,2,179
4,Low,type3,3,151
5,High,type1,0,101
5,High,type1,1,107
5,High,type1,2,120
5,High,type1,3,168
5,High,type2,0,156
5,High,type2,1,115
5,High,type2,2,168
5,High,type2,3,187
5,High,type3,0,146
5,High,type3,1,145
5,High,type3,2,188
5,High,type3,3,131
5,Low,type1,0,147
5,Low,type1,1,128
5,Low,type1,2,137
5,Low,type1,3,150
5,Low,type2,0,140
5,Low,type2,1,117
5,Low,type2,2,149
5,Low,type2,3,129
5,Low,type3,0,154
5,Low,type3,1,84
5,Low,type3,2,192
5,Low,type3,3,123
6,High,type1,0,112
6,High,type1,1,129
6,High,type1,2,158
6,High,type1,3,202
6,High,type2,0,127
6,High,type2,1,117
6,High,type2,2,171
6,High,type2,3,151
6,High,type3,0,138
6,High,type3,1,143
6,High,type3,2,106
6,High,type3,3,128
6,Low,type1,0,149
6,Low,type1,1,172
6,Low,type1,2,121
6,Low,type1,3,130
6,Low,type2,0,121
6,Low,type2,1,176
6,Low,type2,2,105
6,Low,type2,3,58
6,Low,type3,0,151
6,Low,type3,1,142
6,Low,type3,2,130
6,Low,type3,3,144
