HouseholdSize:Output,Household Income:Output,Household Type:Output,Number Of Cars:Output,Frequency
1,High,type1,0,138
1,High,type1,1,122
1,High,type1,2,132
1,High,type1,3,121
1,High,type2,0,140
1,High,type2,1,123
1,High,type2,2,146
1,High,type2,3,182
1,High,type3,0,152
1,High,type3,1,110
1,High,type3,2,179
1,High,type3,3,126
1,Low,type1,0,114
1,Low,type1,1,150
1,Low,type1,2,144
1,Low,type1,3,156
1,Low,type2,0,161
1,Low,type2,1,157
1,Low,type2,2,144
1,Low,type2,3,160
1,Low,type3,0,139
1,Low,type3,1,163
1,Low,type3,2,129
1,Low,type3,3,147
2,High,type1,0,142
2,High,type1,1,110
2,High,type1,2,149
2,High,type1,3,133
2,High,type2,0,166
2,High,type2,1,169
2,High,type2,2,146
2,High,type2,3,162
2,High,type3,0,140
2,High,type3,1,107
2,High,type3,2,110
2,High,type3,3,135
2,Low,type1,0,133
2,Low,type1,1,147
2,Low,type1,2,168
2,Low,type1,3,122
2,Low,type2,0,131
2,Low,type2,1,157
2,Low,type2,2,115
2,Low,type2,3,159
2,Low,type3,0,122
2,Low,type3,1,146
2,Low,type3,2,127
2,Low,type3,3,150
3,High,type1,0,163
3,High,type1,1,137
3,High,type1,2,89
3,High,type1,3,131
3,High,type2,0,122
3,High,type2,1,115
3,High,type2,2,120
3,High,type2,3,137
3,High,type3,0,121
3,High,type3,1,147
3,High,type3,2,108
3,High,type3,3,162
3,Low,type1,0,99
3,Low,type1,1,145
3,Low,type1,2,136
3,Low,type1,3,174
3,Low,type2,0,116
3,Low,type2,1,114
3,Low,type2,2,143
3,Low,type2,3,97
3,Low,type3,0,177
3,Low,type3,1,148
3,Low,type3,2,157
3,Low,type3,3,167
4,High,type1,0,97
4,High,type1,1,122
4,High,type1,2,157
4,High,type1,3,205
4,High,type2,0,157
4,High,type2,1,157
4,High,type2,2,137
4,High,type2,3,120
4,High,type3,0,146
4,High,type3,1,165
4,High,type3,2,101
4,High,type3,3,106
4,Low,type1,0,139
4,Low,type1,1,145
4,Low,type1,2,100
4,Low,type1,3,116
4,Low,type2,0,133
4,Low,type2,1,145
4,Low,type2,2,161
4,Low,type2,3,95
4,Low,type3,0,113
4,Low,type3,1,151
4,Low,type3,2,173
4,Low,type3,3,190
5,High,type1,0,123
5,High,type1,1,125
5,High,type1,2,124
5,High,type1,3,172
5,High,type2,0,131
5,High,type2,1,136
5,High,type2,2,158
5,High,type2,3,143
5,High,type3,0,152
5,High,type3,1,158
5,High,type3,2,154
5,High,type3,3,118
5,Low,type1,0,130
5,Low,type1,1,150
5,Low,type1,2,146
5,Low,type1,3,132
5,Low,type2,0,145
5,Low,type2,1,119
5,Low,type2,2,166
5,Low,type2,3,138
5,Low,type3,0,163
5,Low,type3,1,89
5,Low,type3,2,178
5,Low,type3,3,132
6,High,type1,0,121
6,High,type1,1,134
6,High,type1,2,138
6,High,type1,3,176
6,High,type2,0,153
6,High,type2,1,127
6,High,type2,2,177
6,High,type2,3,157
6,High,type3,0,131
6,High,type3,1,121
6,High,type3,2,113
6,High,type3,3,121
6,Low,type1,0,161
6,Low,type1,1,143
6,Low,type1,2,109
6,Low,type1,3,161
6,Low,type2,0,113
6,Low,type2,1,145
6,Low,type2,2,103
6,Low,type2,3,95
6,Low,type3,0,142
6,Low,type3,1,141
6,Low,type3,2,154
6,Low,type3,3,145
