Household Income,High,Household Size,1,Household Type,type1,Number Of Bicycles,0,11
Household Income,High,Household Size,1,Household Type,type2,Number Of Bicycles,0,9
Household Income,High,Household Size,1,Household Type,type3,Number Of Bicycles,0,7
Household Income,High,Household Size,1,Household Type,type1,Number Of Bicycles,1,11
Household Income,High,Household Size,1,Household Type,type2,Number Of Bicycles,1,6
Household Income,High,Household Size,1,Household Type,type3,Number Of Bicycles,1,9
Household Income,High,Household Size,1,Household Type,type1,Number Of Bicycles,2,10
Household Income,High,Household Size,1,Household Type,type2,Number Of Bicycles,2,1
Household Income,High,Household Size,1,Household Type,type3,Number Of Bicycles,2,11
Household Income,High,Household Size,1,Household Type,type1,Number Of Bicycles,3,3
Household Income,High,Household Size,1,Household Type,type2,Number Of Bicycles,3,11
Household Income,High,Household Size,1,Household Type,type3,Number Of Bicycles,3,5
Household Income,High,Household Size,2,Household Type,type1,Number Of Bicycles,0,1
Household Income,High,Household Size,2,Household Type,type2,Number Of Bicycles,0,8
Household Income,High,Household Size,2,Household Type,type3,Number Of Bicycles,0,4
Household Income,High,Household Size,2,Household Type,type1,Number Of Bicycles,1,1
Household Income,High,Household Size,2,Household Type,type2,Number Of Bicycles,1,6
Household Income,High,Household Size,2,Household Type,type3,Number Of Bicycles,1,7
Household Income,High,Household Size,2,Household Type,type1,Number Of Bicycles,2,3
Household Income,High,Household Size,2,Household Type,type2,Number Of Bicycles,2,11
Household Income,High,Household Size,2,Household Type,type3,Number Of Bicycles,2,3
Household Income,High,Household Size,2,Household Type,type1,Number Of Bicycles,3,11
Household Income,High,Household Size,2,Household Type,type2,Number Of Bicycles,3,15
Household Income,High,Household Size,2,Household Type,type3,Number Of Bicycles,3,9
Household Income,High,Household Size,3,Household Type,type1,Number Of Bicycles,0,12
Household Income,High,Household Size,3,Household Type,type2,Number Of Bicycles,0,13
Household Income,High,Household Size,3,Household Type,type3,Number Of Bicycles,0,13
Household Income,High,Household Size,3,Household Type,type1,Number Of Bicycles,1,16
Household Income,High,Household Size,3,Household Type,type2,Number Of Bicycles,1,8
Household Income,High,Household Size,3,Household Type,type3,Number Of Bicycles,1,7
Household Income,High,Household Size,3,Household Type,type1,Number Of Bicycles,2,4
Household Income,High,Household Size,3,Household Type,type2,Number Of Bicycles,2,15
Household Income,High,Household Size,3,Household Type,type3,Number Of Bicycles,2,13
Household Income,High,Household Size,3,Household Type,type1,Number Of Bicycles,3,1
Household Income,High,Household Size,3,Household Type,type2,Number Of Bicycles,3,15
Household Income,High,Household Size,3,Household Type,type3,Number Of Bicycles,3,3
Household Income,Low,Household Size,1,Household Type,type1,Number Of Bicycles,0,7
Household Income,Low,Household Size,1,Household Type,type2,Number Of Bicycles,0,4
Household Income,Low,Household Size,1,Household Type,type3,Number Of Bicycles,0,9
Household Income,Low,Household Size,1,Household Type,type1,Number Of Bicycles,1,12
Household Income,Low,Household Size,1,Household Type,type2,Number Of Bicycles,1,17
Household Income,Low,Household Size,1,Household Type,type3,Number Of Bicycles,1,9
Household Income,Low,Household Size,1,Household Type,type1,Number Of Bicycles,2,19
Household Income,Low,Household Size,1,Household Type,type2,Number Of Bicycles,2,7
Household Income,Low,Household Size,1,Household Type,type3,Number Of Bicycles,2,8
Household Income,Low,Household Size,1,Household Type,type1,Number Of Bicycles,3,2
Household Income,Low,Household Size,1,Household Type,type2,Number Of Bicycles,3,3
Household Income,Low,Household Size,1,Household Type,type3,Number Of Bicycles,3,18
Household Income,Low,Household Size,2,Household Type,type1,Number Of Bicycles,0,13
Household Income,Low,Household Size,2,Household Type,type2,Number Of Bicycles,0,21
Household Income,Low,Household Size,2,Household Type,type3,Number Of Bicycles,0,16
Household Income,Low,Household Size,2,Household Type,type1,Number Of Bicycles,1,2
Household Income,Low,Household Size,2,Household Type,type2,Number Of Bicycles,1,7
Household Income,Low,Household Size,2,Household Type,type3,Number Of Bicycles,1,13
Household Income,Low,Household Size,2,Household Type,type1,Number Of Bicycles,2,18
