HouseholdSize:Output,Household Income:Output,Household Type:Output,Number Of Cars:Output,Frequency
1,High,type1,0,132
1,High,type1,1,187
1,High,type1,2,209
1,High,type1,3,188
1,High,type2,0,116
1,High,type2,1,179
1,High,type2,2,48
1,High,type2,3,73
1,High,type3,0,120
1,High,type3,1,89
1,High,type3,2,120
1,High,type3,3,209
1,Low,type1,0,177
1,Low,type1,1,134
1,Low,type1,2,78
1,Low,type1,3,169
1,Low,type2,0,132
1,Low,type2,1,189
1,Low,type2,2,225
1,Low,type2,3,129
1,Low,type3,0,167
1,Low,type3,1,47
1,Low,type3,2,194
1,Low,type3,3,124
2,High,type1,0,81
2,High,type1,1,129
2,High,type1,2,116
2,High,type1,3,108
2,High,type2,0,224
2,High,type2,1,137
2,High,type2,2,165
2,High,type2,3,216
2,High,type3,0,132
2,High,type3,1,119
2,High,type3,2,137
2,High,type3,3,105
2,Low,type1,0,52
2,Low,type1,1,120
2,Low,type1,2,102
2,Low,type1,3,144
2,Low,type2,0,225
2,Low,type2,1,148
2,Low,type2,2,144
2,Low,type2,3,145
2,Low,type3,0,120
2,Low,type3,1,183
2,Low,type3,2,151
2,Low,type3,3,143
3,High,type1,0,203
3,High,type1,1,75
3,High,type1,2,137
3,High,type1,3,126
3,High,type2,0,105
3,High,type2,1,159
3,High,type2,2,183
3,High,type2,3,119
3,High,type3,0,94
3,High,type3,1,118
3,High,type3,2,94
3,High,type3,3,140
3,Low,type1,0,94
3,Low,type1,1,99
3,Low,type1,2,130
3,Low,type1,3,111
3,Low,type2,0,193
3,Low,type2,1,175
3,Low,type2,2,37
3,Low,type2,3,154
3,Low,type3,0,109
3,Low,type3,1,180
3,Low,type3,2,172
3,Low,type3,3,218
4,High,type1,0,184
4,High,type1,1,130
4,High,type1,2,99
4,High,type1,3,163
4,High,type2,0,77
4,High,type2,1,82
4,High,type2,2,133
4,High,type2,3,184
4,High,type3,0,102
4,High,type3,1,197
4,High,type3,2,148
4,High,type3,3,171
4,Low,type1,0,120
4,Low,type1,1,113
4,Low,type1,2,86
4,Low,type1,3,118
4,Low,type2,0,202
4,Low,type2,1,168
4,Low,type2,2,133
4,Low,type2,3,75
4,Low,type3,0,100
4,Low,type3,1,195
4,Low,type3,2,230
4,Low,type3,3,121
5,High,type1,0,215
5,High,type1,1,150
5,High,type1,2,188
5,High,type1,3,67
5,High,type2,0,143
5,High,type2,1,205
5,High,type2,2,165
5,High,type2,3,113
5,High,type3,0,125
5,High,type3,1,124
5,High,type3,2,70
5,High,type3,3,129
5,Low,type1,0,118
5,Low,type1,1,144
5,Low,type1,2,183
5,Low,type1,3,233
5,Low,type2,0,78
5,Low,type2,1,145
5,Low,type2,2,152
5,Low,type2,3,64
5,Low,type3,0,165
5,Low,type3,1,9
5,Low,type3,2,167
5,Low,type3,3,229
6,High,type1,0,147
6,High,type1,1,108
6,High,type1,2,162
6,High,type1,3,96
6,High,type2,0,181
6,High,type2,1,74
6,High,type2,2,152
6,High,type2,3,207
6,High,type3,0,113
6,High,type3,1,123
6,High,type3,2,110
6,High,type3,3,195
6,Low,type1,0,189
6,Low,type1,1,105
6,Low,type1,2,60
6,Low,type1,3,142
6,Low,type2,0,110
6,Low,type2,1,156
6,Low,type2,2,159
6,Low,type2,3,101
6,Low,type3,0,81
6,Low,type3,1,245
6,Low,type3,2,151
6,Low,type3,3,114
