HouseholdSize,1,Household Type,type1,Household Income,High,270
HouseholdSize,1,Household Type,type2,Household Income,High,166
HouseholdSize,1,Household Type,type3,Household Income,High,149
HouseholdSize,1,Household Type,type1,Household Income,Low,183
HouseholdSize,1,Household Type,type2,Household Income,Low,312
HouseholdSize,1,Household Type,type3,Household Income,Low,212
HouseholdSize,2,Household Type,type1,Household Income,High,249
HouseholdSize,2,Household Type,type2,Household Income,High,265
HouseholdSize,2,Household Type,type3,Household Income,High,245
HouseholdSize,2,Household Type,type1,Household Income,Low,180
HouseholdSize,2,Household Type,type2,Household Income,Low,232
HouseholdSize,2,Household Type,type3,Household Income,Low,215
HouseholdSize,3,Household Type,type1,Household Income,High,136
HouseholdSize,3,Household Type,type2,Household Income,High,200
HouseholdSize,3,Household Type,type3,Household Income,High,295
HouseholdSize,3,Household Type,type1,Household Income,Low,193
HouseholdSize,3,Household Type,type2,Household Income,Low,348
HouseholdSize,3,Household Type,type3,Household Income,Low,191
