householdID,householdSize,householdIncome,householdType,numberOfCars
0,2,High,type3,1
1,1,High,type1,0
2,1,Low,type2,2
3,2,Low,type2,2
4,3,High,type2,0
5,3,Low,type2,0
6,2,High,type2,3
7,2,High,type1,0
8,1,High,type1,3
9,2,High,type3,0
10,3,High,type3,1
11,2,High,type3,1
12,1,Low,type1,1
13,3,Low,type1,1
14,3,High,type1,3
15,3,High,type1,0
16,2,High,type2,2
17,3,High,type3,1
18,3,Low,type1,3
19,3,Low,type1,3
20,3,Low,type2,2
21,1,Low,type2,0
22,1,Low,type2,2
23,3,Low,type2,0
24,2,High,type1,0
25,3,Low,type3,3
26,3,Low,type3,2
27,2,Low,type1,3
28,2,Low,type2,1
29,1,Low,type1,2
30,3,High,type3,2
31,2,High,type2,3
32,2,High,type2,3
33,1,Low,type2,3
34,1,High,type3,0
35,2,High,type1,2
36,2,High,type2,3
37,1,Low,type3,0
38,2,Low,type3,3
39,3,High,type2,0
40,1,High,type2,0
41,3,Low,type1,3
42,3,High,type2,0
43,2,High,type2,3
44,3,Low,type2,3
45,2,Low,type3,3
46,3,High,type1,0
47,3,High,type2,0
48,1,Low,type2,3
49,2,Low,type2,1
50,2,Low,type2,3
51,3,Low,type2,0
52,1,High,type1,3
53,2,High,type3,0
54,1,Low,type3,1
55,3,High,type1,3
56,1,High,type3,3
57,3,Low,type2,3
58,3,Low,type1,3
59,3,High,type2,1
60,3,High,type3,2
61,1,Low,type1,3
62,2,Low,type1,3
63,3,Low,type2,1
64,1,Low,type2,2
65,1,Low,type2,1
66,2,High,type1,2
67,2,High,type3,0
68,2,High,type2,3
69,2,Low,type2,0
70,3,High,type3,2
71,3,Low,type2,2
72,1,High,type2,0
73,1,Low,type2,1
74,2,High,type1,0
75,3,High,type1,3
76,2,High,type1,0
77,3,High,type2,0
78,2,High,type2,3
79,3,High,type3,1
80,3,Low,type1,3
81,1,High,type1,3
82,2,Low,type2,3
83,2,High,type1,3
84,3,High,type3,2
85,3,Low,type3,2
86,2,Low,type2,1
87,1,Low,type2,3
88,2,Low,type1,0
89,3,Low,type2,3
90,2,High,type2,1
91,2,High,type2,2
92,2,High,type1,0
93,3,Low,type2,2
94,2,Low,type2,3
95,1,Low,type3,0
96,2,High,type3,3
97,2,High,type3,1
98,2,High,type1,0
99,3,Low,type2,2
100,3,Low,type2,2
101,3,Low,type3,2
102,1,High,type3,0
103,1,Low,type3,0
104,2,Low,type1,0
105,1,High,type3,1
106,1,Low,type2,2
107,2,High,type3,2
108,1,Low,type3,2
109,3,Low,type2,0
110,1,Low,type2,0
111,1,Low,type3,0
112,1,Low,type3,0
113,3,Low,type2,1
114,3,Low,type3,0
115,3,Low,type2,0
116,1,High,type1,3
117,1,High,type1,3
118,1,Low,type3,1
119,2,High,type3,2
120,1,High,type3,1
121,3,Low,type1,1
122,1,Low,type2,2
123,3,Low,type3,2
124,1,High,type3,0
125,2,High,type2,1
126,3,High,type1,3
127,2,High,type1,1
128,3,Low,type2,0
129,2,High,type2,3
130,2,High,type3,2
131,3,High,type3,1
132,1,High,type2,2
133,3,High,type3,2
134,3,Low,type3,0
135,2,High,type2,1
136,3,High,type2,2
137,2,Low,type3,0
138,2,Low,type2,3
139,1,Low,type2,3
140,2,High,type3,2
141,3,High,type3,2
142,3,Low,type2,3
143,3,High,type2,1
144,2,Low,type3,0
145,2,High,type2,1
146,3,High,type3,3
147,3,Low,type2,1
148,3,High,type1,0
149,3,Low,type3,0
150,1,Low,type3,2
151,3,High,type1,3
152,3,Low,type2,2
153,2,Low,type2,3
154,2,Low,type1,1
155,3,Low,type3,0
156,2,High,type1,3
157,2,High,type1,3
158,1,Low,type1,0
159,1,Low,type3,0
160,2,High,type2,3
161,1,High,type2,0
162,2,High,type3,3
163,1,High,type2,1
164,2,Low,type2,1
165,2,High,type1,1
166,1,High,type2,0
167,1,Low,type1,1
168,3,Low,type2,1
169,3,Low,type2,2
170,1,Low,type2,0
171,1,High,type2,1
172,2,Low,type3,1
173,3,Low,type3,0
174,3,High,type2,1
175,2,Low,type3,0
176,2,High,type2,0
177,1,Low,type2,1
178,2,High,type2,1
179,1,High,type2,3
180,3,Low,type2,3
181,1,High,type1,3
182,3,Low,type2,3
183,2,Low,type3,2
184,3,High,type2,0
185,3,Low,type2,3
186,3,Low,type2,0
187,2,Low,type3,1
188,3,Low,type3,2
189,3,Low,type2,1
190,3,High,type2,2
191,1,High,type1,1
192,1,Low,type3,0
193,1,Low,type2,3
194,3,High,type2,1
195,3,High,type2,2
196,3,High,type1,3
197,1,Low,type2,2
198,2,Low,type2,1
199,2,Low,type3,1
200,1,Low,type2,2
201,3,Low,type1,0
