Age,0:15,Gender,false,Work,agriculteur,31,26
Age,0:15,Gender,false,Work,artisant,29,14
Age,0:15,Gender,false,Work,commercant,28,18
Age,0:15,Gender,false,Work,conducteur,25,33
Age,0:15,Gender,false,Work,ecolier,33,30
Age,0:15,Gender,false,Work,employe_prive,44,18
Age,0:15,Gender,false,Work,enseignant,33,0
Age,0:15,Gender,false,Work,militaire,38,23
Age,0:15,Gender,false,Work,ouvrier,34,24
Age,0:15,Gender,false,Work,ouvrier_agricole,30,54
Age,0:15,Gender,false,Work,ouvrier_batiment,28,0
Age,0:15,Gender,false,Work,retraite,27,49
Age,0:15,Gender,false,Work,sans_activite,37,0
Age,0:15,Gender,true,Work,agriculteur,29,0
Age,0:15,Gender,true,Work,artisant,35,19
Age,0:15,Gender,true,Work,commercant,35,34
Age,0:15,Gender,true,Work,conducteur,26,0
Age,0:15,Gender,true,Work,ecolier,31,0
Age,0:15,Gender,true,Work,employe_prive,28,48
Age,0:15,Gender,true,Work,enseignant,36,39
Age,0:15,Gender,true,Work,militaire,32,35
Age,0:15,Gender,true,Work,ouvrier,48,67
Age,0:15,Gender,true,Work,ouvrier_agricole,31,0
Age,0:15,Gender,true,Work,ouvrier_batiment,30,30
Age,0:15,Gender,true,Work,retraite,42,42
Age,0:15,Gender,true,Work,sans_activite,30,0
Age,16:20,Gender,false,Work,agriculteur,43,65
Age,16:20,Gender,false,Work,artisant,14,4
Age,16:20,Gender,false,Work,commercant,28,39
Age,16:20,Gender,false,Work,conducteur,37,8
Age,16:20,Gender,false,Work,ecolier,31,0
Age,16:20,Gender,false,Work,employe_prive,36,0
Age,16:20,Gender,false,Work,enseignant,31,24
Age,16:20,Gender,false,Work,militaire,39,0
Age,16:20,Gender,false,Work,ouvrier,34,33
Age,16:20,Gender,false,Work,ouvrier_agricole,38,37
Age,16:20,Gender,false,Work,ouvrier_batiment,31,0
Age,16:20,Gender,false,Work,retraite,46,28
Age,16:20,Gender,false,Work,sans_activite,31,26
Age,16:20,Gender,true,Work,agriculteur,34,17
Age,16:20,Gender,true,Work,artisant,30,23
Age,16:20,Gender,true,Work,commercant,31,0
Age,16:20,Gender,true,Work,conducteur,42,37
Age,16:20,Gender,true,Work,ecolier,28,10
Age,16:20,Gender,true,Work,employe_prive,45,41
Age,16:20,Gender,true,Work,enseignant,42,55
Age,16:20,Gender,true,Work,militaire,40,99
Age,16:20,Gender,true,Work,ouvrier,34,40
Age,16:20,Gender,true,Work,ouvrier_agricole,29,22
Age,16:20,Gender,true,Work,ouvrier_batiment,32,39
Age,16:20,Gender,true,Work,retraite,34,16
Age,16:20,Gender,true,Work,sans_activite,29,49
Age,21:25,Gender,false,Work,agriculteur,36,0
Age,21:25,Gender,false,Work,artisant,42,0
Age,21:25,Gender,false,Work,commercant,28,19
Age,21:25,Gender,false,Work,conducteur,45,0
Age,21:25,Gender,false,Work,ecolier,23,0
Age,21:25,Gender,false,Work,employe_prive,42,42
Age,21:25,Gender,false,Work,enseignant,30,45
