householdSize,householdIncome,householdType,numberOfCars,householdID
1,High,type3,0,0
1,High,type2,1,1
1,High,type2,1,2
1,High,type2,1,3
1,High,type1,0,4
1,High,type2,3,5
1,High,type1,3,6
1,High,type2,1,7
1,High,type1,3,8
1,High,type1,0,9
1,High,type1,1,10
1,High,type3,3,11
1,High,type2,1,12
1,High,type2,1,13
1,High,type2,1,14
1,High,type1,3,15
1,High,type2,1,16
1,High,type3,2,17
1,High,type2,1,18
1,High,type3,3,19
1,High,type2,1,20
1,High,type1,1,21
1,High,type2,1,22
1,High,type3,0,23
1,High,type2,1,24
1,High,type2,3,25
1,High,type1,0,26
1,High,type3,1,27
1,High,type2,3,28
1,High,type3,2,29
1,High,type1,3,30
1,High,type2,3,31
1,High,type3,3,32
1,High,type2,3,33
1,High,type1,0,34
1,High,type3,2,35
1,High,type2,3,36
1,High,type2,3,37
1,High,type2,1,38
1,High,type3,2,39
1,High,type1,3,40
1,High,type3,0,41
1,High,type3,1,42
1,High,type3,2,43
1,High,type2,3,44
1,High,type2,1,45
1,High,type1,0,46
1,High,type2,3,47
1,High,type1,2,48
1,High,type3,1,49
1,High,type2,3,50
1,High,type2,3,51
1,High,type1,3,52
1,High,type1,1,53
1,High,type3,3,54
1,High,type1,0,55
1,High,type2,1,56
1,High,type2,3,57
1,High,type3,3,58
1,High,type1,1,59
1,High,type3,2,60
1,High,type1,1,61
1,High,type2,3,62
1,High,type1,1,63
1,High,type3,1,64
1,High,type2,1,65
1,High,type1,0,66
1,High,type1,2,67
1,High,type2,1,68
1,High,type2,1,69
1,High,type2,3,70
1,High,type2,1,71
1,High,type1,0,72
1,High,type3,0,73
1,High,type1,3,74
1,High,type1,1,75
1,High,type3,0,76
1,High,type2,1,77
1,High,type1,2,78
1,High,type1,3,79
1,High,type3,0,80
1,High,type1,3,81
1,High,type3,3,82
1,High,type2,1,83
1,High,type1,3,84
1,High,type1,2,85
1,High,type1,3,86
1,High,type2,1,87
1,High,type1,2,88
1,High,type1,2,89
1,High,type3,2,90
1,High,type1,1,91
1,High,type2,1,92
1,High,type2,1,93
1,High,type2,1,94
1,High,type1,3,95
1,High,type2,3,96
1,High,type2,1,97
1,High,type2,1,98
1,High,type1,3,99
1,High,type3,3,100
1,High,type3,3,101
1,High,type2,3,102
1,High,type1,3,103
1,High,type1,3,104
1,High,type1,1,105
1,High,type2,1,106
1,High,type2,3,107
1,High,type2,3,108
1,High,type2,1,109
1,High,type2,1,110
1,High,type3,2,111
1,High,type1,2,112
1,High,type1,3,113
1,High,type2,1,114
1,High,type2,3,115
1,High,type1,3,116
1,High,type1,1,117
1,High,type2,1,118
1,High,type2,1,119
1,High,type3,1,120
1,High,type3,1,121
1,High,type2,1,122
1,High,type2,1,123
1,High,type2,3,124
1,High,type3,1,125
1,High,type2,3,126
1,High,type1,3,127
1,High,type3,3,128
1,High,type1,2,129
1,High,type2,1,130
1,High,type1,3,131
1,High,type2,3,132
1,High,type1,3,133
1,High,type2,1,134
1,High,type1,2,135
1,High,type3,1,136
1,High,type3,3,137
1,High,type1,3,138
1,High,type1,3,139
1,High,type2,1,140
1,High,type3,2,141
1,High,type2,1,142
1,High,type1,0,143
1,High,type1,3,144
1,High,type3,2,145
1,High,type3,2,146
1,High,type2,3,147
1,High,type3,2,148
1,High,type3,2,149
1,High,type2,1,150
1,High,type1,3,151
1,High,type2,1,152
1,High,type3,0,153
