HouseholdSize:Output,Household Income:Output,Household Type:Output,Number Of Cars:Output,Frequency
1,High,type1,0,151
1,High,type1,1,82
1,High,type1,2,152
1,High,type1,3,244
1,High,type2,0,0
1,High,type2,1,343
1,High,type2,2,0
1,High,type2,3,253
1,High,type3,0,134
1,High,type3,1,89
1,High,type3,2,140
1,High,type3,3,83
1,Low,type1,0,299
1,Low,type1,1,103
1,Low,type1,2,347
1,Low,type1,3,67
1,Low,type2,0,138
1,Low,type2,1,0
1,Low,type2,2,235
1,Low,type2,3,84
1,Low,type3,0,121
1,Low,type3,1,208
1,Low,type3,2,0
1,Low,type3,3,161
2,High,type1,0,418
2,High,type1,1,0
2,High,type1,2,0
2,High,type1,3,0
2,High,type2,0,271
2,High,type2,1,171
2,High,type2,2,0
2,High,type2,3,77
2,High,type3,0,132
2,High,type3,1,62
2,High,type3,2,249
2,High,type3,3,289
2,Low,type1,0,0
2,Low,type1,1,195
2,Low,type1,2,274
2,Low,type1,3,0
2,Low,type2,0,0
2,Low,type2,1,318
2,Low,type2,2,133
2,Low,type2,3,382
2,Low,type3,0,0
2,Low,type3,1,96
2,Low,type3,2,164
2,Low,type3,3,115
3,High,type1,0,97
3,High,type1,1,90
3,High,type1,2,131
3,High,type1,3,138
3,High,type2,0,111
3,High,type2,1,87
3,High,type2,2,153
3,High,type2,3,182
3,High,type3,0,0
3,High,type3,1,326
3,High,type3,2,0
3,High,type3,3,237
3,Low,type1,0,81
3,Low,type1,1,0
3,Low,type1,2,102
3,Low,type1,3,264
3,Low,type2,0,342
3,Low,type2,1,203
3,Low,type2,2,178
3,Low,type2,3,0
3,Low,type3,0,167
3,Low,type3,1,100
3,Low,type3,2,189
3,Low,type3,3,47
4,High,type1,0,132
4,High,type1,1,0
4,High,type1,2,477
4,High,type1,3,83
4,High,type2,0,175
4,High,type2,1,289
4,High,type2,2,0
4,High,type2,3,238
4,High,type3,0,61
4,High,type3,1,128
4,High,type3,2,0
4,High,type3,3,86
4,Low,type1,0,176
4,Low,type1,1,237
4,Low,type1,2,352
4,Low,type1,3,0
4,Low,type2,0,86
4,Low,type2,1,231
4,Low,type2,2,0
4,Low,type2,3,207
4,Low,type3,0,155
4,Low,type3,1,0
4,Low,type3,2,0
4,Low,type3,3,218
5,High,type1,0,43
5,High,type1,1,227
5,High,type1,2,418
5,High,type1,3,0
5,High,type2,0,154
5,High,type2,1,0
5,High,type2,2,113
5,High,type2,3,0
5,High,type3,0,132
5,High,type3,1,102
5,High,type3,2,276
5,High,type3,3,229
5,Low,type1,0,146
5,Low,type1,1,147
5,Low,type1,2,0
5,Low,type1,3,351
5,Low,type2,0,90
5,Low,type2,1,0
5,Low,type2,2,120
5,Low,type2,3,120
5,Low,type3,0,279
5,Low,type3,1,300
5,Low,type3,2,0
5,Low,type3,3,134
6,High,type1,0,252
6,High,type1,1,123
6,High,type1,2,0
6,High,type1,3,0
6,High,type2,0,0
6,High,type2,1,0
6,High,type2,2,326
6,High,type2,3,310
6,High,type3,0,242
6,High,type3,1,264
6,High,type3,2,0
6,High,type3,3,152
6,Low,type1,0,0
6,Low,type1,1,228
6,Low,type1,2,0
6,Low,type1,3,89
6,Low,type2,0,173
6,Low,type2,1,196
6,Low,type2,2,103
6,Low,type2,3,207
6,Low,type3,0,154
6,Low,type3,1,0
6,Low,type3,2,365
6,Low,type3,3,97
