Gender,false,Age,0:15,417,418
Gender,true,Age,0:15,433,432
Gender,false,Age,16:20,439,441
Gender,true,Age,16:20,450,449
Gender,false,Age,21:25,479,480
Gender,true,Age,21:25,481,482
Gender,false,Age,26:30,496,497
Gender,true,Age,26:30,477,478
Gender,false,Age,31:50,463,461
Gender,true,Age,31:50,455,455
Gender,false,Age,51:60,440,442
Gender,true,Age,51:60,442,443
Gender,false,Age,61:75,478,477
Gender,true,Age,61:75,438,440
Gender,false,Age,76:80,455,455
Gender,true,Age,76:80,473,471
Gender,false,Age,81:100,394,394
Gender,true,Age,81:100,443,443
