age,gender,work,householdID
96,false,artisant,0
49,true,enseignant,0
96,false,artisant,1
49,true,enseignant,1
96,false,artisant,2
49,true,enseignant,2
96,false,artisant,3
49,true,enseignant,3
96,false,artisant,4
49,true,enseignant,4
96,false,artisant,5
49,true,enseignant,5
96,false,artisant,6
49,true,enseignant,6
96,false,artisant,7
49,true,enseignant,7
96,false,artisant,8
49,true,enseignant,8
96,false,artisant,9
49,true,enseignant,9
96,false,artisant,10
49,true,enseignant,10
96,false,artisant,11
49,true,enseignant,11
96,false,artisant,12
49,true,enseignant,12
96,false,artisant,13
49,true,enseignant,13
96,false,artisant,14
49,true,enseignant,14
96,false,artisant,15
49,true,enseignant,15
39,true,ecolier,16
39,true,ecolier,17
39,true,ecolier,18
39,true,ecolier,19
39,true,ecolier,20
39,true,ecolier,21
39,true,ecolier,22
39,true,ecolier,23
39,true,ecolier,24
39,true,ecolier,25
39,true,ecolier,26
39,true,ecolier,27
39,true,ecolier,28
39,true,ecolier,29
39,true,ecolier,30
39,true,ecolier,31
39,true,ecolier,32
39,true,ecolier,33
39,true,ecolier,34
39,true,ecolier,35
39,true,ecolier,36
39,true,ecolier,37
39,true,ecolier,38
39,true,enseignant,39
39,true,enseignant,40
39,true,enseignant,41
39,true,enseignant,42
39,true,enseignant,43
39,true,enseignant,44
39,true,enseignant,45
39,true,enseignant,46
39,true,enseignant,47
39,true,enseignant,48
39,true,enseignant,49
39,true,enseignant,50
39,true,enseignant,51
39,true,enseignant,52
39,true,enseignant,53
71,false,ouvrier_agricole,54
99,false,artisant,54
71,false,ouvrier_agricole,55
99,false,artisant,55
71,false,ouvrier_agricole,56
99,false,artisant,56
71,false,ouvrier_agricole,57
99,false,artisant,57
71,false,ouvrier_agricole,58
99,false,artisant,58
71,false,ouvrier_agricole,59
99,false,artisant,59
71,false,ouvrier_agricole,60
99,false,artisant,60
71,false,ouvrier_agricole,61
99,false,artisant,61
71,false,ouvrier_agricole,62
99,false,artisant,62
71,false,ouvrier_agricole,63
99,false,artisant,63
71,false,ouvrier_agricole,64
99,false,artisant,64
71,false,ouvrier_agricole,65
99,false,artisant,65
71,false,ouvrier_agricole,66
99,false,artisant,66
71,false,ouvrier_agricole,67
99,false,artisant,67
71,false,ouvrier_agricole,68
99,false,artisant,68
71,false,ouvrier_agricole,69
99,false,artisant,69
29,false,sans_activite,70
21,false,ouvrier,70
29,false,agriculteur,70
29,false,sans_activite,71
21,false,ouvrier,71
29,false,agriculteur,71
29,false,sans_activite,72
21,false,ouvrier,72
29,false,agriculteur,72
29,false,sans_activite,73
21,false,ouvrier,73
29,false,agriculteur,73
29,false,sans_activite,74
21,false,ouvrier,74
29,false,agriculteur,74
29,false,sans_activite,75
21,false,ouvrier,75
29,false,agriculteur,75
29,false,sans_activite,76
21,false,ouvrier,76
29,false,agriculteur,76
29,false,sans_activite,77
21,false,ouvrier,77
29,false,agriculteur,77
29,false,sans_activite,78
21,false,ouvrier,78
29,false,agriculteur,78
29,false,sans_activite,79
21,false,ouvrier,79
29,false,agriculteur,79
29,false,sans_activite,80
21,false,ouvrier,80
29,false,agriculteur,80
29,false,sans_activite,81
21,false,ouvrier,81
29,false,agriculteur,81
29,false,sans_activite,82
21,false,ouvrier,82
29,false,agriculteur,82
29,false,sans_activite,83
21,false,ouvrier,83
