1;RAS;[15,20[;16;SEX_MALE;ASI1_ouvrier;1
2;RAS;[30,50[;37;SEX_MALE;ASI1_agriculteur;2
3;RAS;[30,50[;48;SEX_FEMALE;ASI1_ouvrier_agricole;2
4;RAS;[30,50[;48;SEX_MALE;ASI1_agriculteur;3
5;RAS;[15,20[;16;SEX_FEMALE;ASI1_agriculteur;3
6;RAS;[0,15[;12;SEX_MALE;ASI1_sans_activite;3
7;RAS;[75,80[;77;SEX_MALE;ASI1_enseignant;4
8;RAS;[60,75[;73;SEX_FEMALE;ASI1_sans_activite;4
9;RAS;[30,50[;33;SEX_FEMALE;ASI1_conducteur;4
10;RAS;[30,50[;43;SEX_MALE;ASI1_commercant;5
11;RAS;[50,60[;51;SEX_FEMALE;ASI1_sans_activite;5
12;RAS;[0,15[;11;SEX_FEMALE;ASI1_sans_activite;5
13;RAS;[25,30[;27;SEX_MALE;ASI1_ouvrier;5
14;RAS;[80,+[;94;SEX_MALE;ASI1_sans_activite;6
15;RAS;[60,75[;64;SEX_FEMALE;ASI1_sans_activite;6
16;RAS;[0,15[;13;SEX_MALE;ASI1_ecolier;6
17;RAS;[50,60[;56;SEX_MALE;ASI1_agriculteur;6
18;RAS;[50,60[;57;SEX_MALE;ASI1_agriculteur;7
19;RAS;[60,75[;65;SEX_FEMALE;ASI1_agriculteur;7
20;RAS;[0,15[;5;SEX_FEMALE;ASI1_ecolier;7
21;RAS;[30,50[;38;SEX_MALE;ASI1_militaire;7
22;RAS;[30,50[;31;SEX_FEMALE;ASI1_agriculteur;7
23;RAS;[60,75[;70;SEX_MALE;ASI1_sans_activite;8
24;RAS;[50,60[;50;SEX_FEMALE;ASI1_sans_activite;8
25;RAS;[15,20[;18;SEX_MALE;ASI1_ouvrier_batiment;8
26;RAS;[20,25[;22;SEX_MALE;ASI1_ouvrier;8
27;RAS;[25,30[;27;SEX_FEMALE;ASI1_sans_activite;8
28;RAS;[75,80[;78;SEX_MALE;ASI1_enseignant;9
29;RAS;[80,+[;94;SEX_FEMALE;ASI1_sans_activite;9
30;RAS;[20,25[;23;SEX_MALE;ASI1_ouvrier;9
31;RAS;[25,30[;28;SEX_MALE;ASI1_sans_activite;9
32;RAS;[50,60[;59;SEX_FEMALE;ASI1_agriculteur;9
33;RAS;[80,+[;84;SEX_MALE;ASI1_sans_activite;10
34;RAS;[60,75[;70;SEX_FEMALE;ASI1_commercant;10
35;RAS;[0,15[;0;SEX_FEMALE;ASI1_ecolier;10
36;RAS;[20,25[;22;SEX_MALE;ASI1_ouvrier;10
37;RAS;[30,50[;30;SEX_MALE;ASI1_ouvrier;10
