householdID,householdSize,householdIncome,householdType,numberOfCars
0,3,Low,type2,0
1,2,High,type1,0
2,2,Low,type3,2
3,3,Low,type2,2
4,3,High,type1,2
5,2,High,type2,1
6,2,High,type3,1
7,2,Low,type1,2
8,3,High,type2,3
9,2,High,type1,0
10,1,High,type1,1
11,1,Low,type3,0
12,1,Low,type3,0
13,3,Low,type1,3
14,2,Low,type2,1
15,3,High,type2,1
16,3,High,type2,1
17,3,Low,type2,0
18,1,Low,type3,3
19,1,High,type3,2
20,3,Low,type1,2
21,1,High,type3,3
22,3,High,type2,1
23,1,Low,type2,2
24,1,High,type3,3
25,3,Low,type1,0
26,1,Low,type1,2
27,2,High,type3,3
28,1,Low,type1,0
29,1,High,type1,2
30,1,Low,type1,1
31,3,High,type2,1
32,2,High,type2,0
33,1,High,type1,3
34,1,High,type3,0
35,2,Low,type1,0
36,3,High,type3,1
37,3,Low,type1,1
38,1,High,type3,3
39,3,Low,type1,2
40,2,Low,type3,2
41,2,High,type1,1
42,2,Low,type3,0
43,3,Low,type3,1
44,2,High,type1,2
45,1,High,type2,0
46,3,High,type1,3
47,3,Low,type3,1
48,1,High,type3,3
49,3,Low,type2,3
50,2,Low,type1,0
51,1,Low,type1,2
52,1,Low,type2,3
53,3,High,type2,2
54,2,High,type2,2
55,3,High,type2,3
56,3,High,type1,1
57,1,High,type1,0
58,1,Low,type2,2
59,2,High,type1,1
60,1,Low,type3,1
61,1,High,type2,1
62,2,Low,type1,3
63,3,Low,type3,3
64,1,Low,type3,1
65,2,Low,type2,1
66,2,Low,type1,3
67,1,High,type3,0
68,1,High,type3,1
69,2,Low,type3,0
70,3,Low,type1,2
71,3,High,type3,0
72,2,Low,type2,2
73,1,Low,type3,1
74,1,High,type3,1
75,2,High,type1,1
76,2,High,type3,0
77,2,Low,type2,1
78,2,Low,type1,1
79,3,Low,type2,3
80,2,High,type3,1
81,1,High,type3,2
82,2,High,type3,3
83,1,Low,type1,2
84,1,High,type1,1
85,3,Low,type1,2
86,1,Low,type2,0
87,3,Low,type1,0
88,2,Low,type2,0
89,1,High,type2,3
90,1,High,type1,3
91,3,Low,type2,0
92,3,Low,type1,3
93,3,High,type1,1
94,2,Low,type2,3
95,2,Low,type2,2
96,2,High,type3,2
97,1,High,type3,0
98,3,Low,type1,2
99,3,High,type1,3
