householdID,householdSize,householdIncome,householdType,numberOfCars
0,3,Low,type1,1
1,1,Low,type2,1
2,1,High,type1,3
3,2,High,type1,3
4,3,High,type3,2
5,1,Low,type3,1
6,2,High,type1,2
7,3,Low,type2,2
8,3,High,type1,3
9,2,Low,type3,1
10,2,Low,type3,3
11,3,High,type3,1
12,3,Low,type1,0
13,3,Low,type1,3
14,1,High,type1,0
15,1,Low,type2,0
16,3,High,type1,0
17,3,Low,type2,3
18,3,Low,type3,2
19,3,Low,type2,2
20,2,Low,type3,3
21,3,Low,type3,0
22,2,High,type2,0
23,2,High,type2,0
24,1,High,type3,0
25,1,High,type1,0
26,2,Low,type2,0
27,3,Low,type3,0
28,3,High,type2,0
29,3,Low,type1,3
30,2,Low,type3,0
31,3,Low,type3,0
32,2,Low,type2,0
33,2,Low,type2,3
34,1,Low,type1,2
35,1,Low,type2,2
36,3,High,type2,2
37,2,High,type2,3
38,1,High,type1,3
39,3,Low,type2,2
40,2,High,type3,2
41,3,High,type1,3
42,3,Low,type2,3
43,3,High,type3,1
44,2,High,type2,1
45,3,High,type3,0
46,3,High,type2,3
47,2,Low,type3,0
48,3,High,type3,1
49,3,Low,type3,2
50,3,Low,type2,1
51,2,Low,type2,3
52,1,Low,type1,1
53,3,High,type2,0
54,1,Low,type3,2
55,1,Low,type1,1
56,1,High,type1,3
57,2,High,type2,3
58,1,Low,type2,0
59,2,High,type3,0
60,3,High,type1,3
61,1,Low,type1,2
62,2,Low,type1,2
63,1,Low,type2,2
64,1,Low,type2,2
65,1,High,type1,3
66,2,High,type3,1
67,1,High,type1,3
68,2,High,type2,0
69,2,Low,type3,0
70,2,High,type3,3
71,2,Low,type3,3
72,1,High,type3,0
73,1,High,type3,1
74,2,High,type3,3
75,1,Low,type1,0
76,2,Low,type2,2
77,3,High,type2,1
78,1,High,type1,0
79,3,High,type2,0
