Number Of Cars,0,HouseholdSize,1,Household Income,High,195,317
Number Of Cars,1,HouseholdSize,1,Household Income,High,151,99
Number Of Cars,2,HouseholdSize,1,Household Income,High,89,58
Number Of Cars,3,HouseholdSize,1,Household Income,High,150,111
Number Of Cars,0,HouseholdSize,1,Household Income,Low,243,252
Number Of Cars,1,HouseholdSize,1,Household Income,Low,234,236
Number Of Cars,2,HouseholdSize,1,Household Income,Low,169,165
Number Of Cars,3,HouseholdSize,1,Household Income,Low,61,55
Number Of Cars,0,HouseholdSize,2,Household Income,High,189,190
Number Of Cars,1,HouseholdSize,2,Household Income,High,176,180
Number Of Cars,2,HouseholdSize,2,Household Income,High,225,223
Number Of Cars,3,HouseholdSize,2,Household Income,High,169,165
Number Of Cars,0,HouseholdSize,2,Household Income,Low,166,218
Number Of Cars,1,HouseholdSize,2,Household Income,Low,177,163
Number Of Cars,2,HouseholdSize,2,Household Income,Low,54,43
Number Of Cars,3,HouseholdSize,2,Household Income,Low,230,203
Number Of Cars,0,HouseholdSize,3,Household Income,High,177,181
Number Of Cars,1,HouseholdSize,3,Household Income,High,140,155
Number Of Cars,2,HouseholdSize,3,Household Income,High,149,141
Number Of Cars,3,HouseholdSize,3,Household Income,High,165,155
Number Of Cars,0,HouseholdSize,3,Household Income,Low,170,204
Number Of Cars,1,HouseholdSize,3,Household Income,Low,181,123
Number Of Cars,2,HouseholdSize,3,Household Income,Low,197,229
Number Of Cars,3,HouseholdSize,3,Household Income,Low,184,176
Number Of Cars,0,Household Income,High,Household Type,type1,188,161
Number Of Cars,1,Household Income,High,Household Type,type1,125,130
Number Of Cars,2,Household Income,High,Household Type,type1,128,165
Number Of Cars,3,Household Income,High,Household Type,type1,214,200
Number Of Cars,0,Household Income,High,Household Type,type2,170,342
Number Of Cars,1,Household Income,High,Household Type,type2,146,142
Number Of Cars,2,Household Income,High,Household Type,type2,172,77
Number Of Cars,3,Household Income,High,Household Type,type2,143,70
Number Of Cars,0,Household Income,High,Household Type,type3,203,185
Number Of Cars,1,Household Income,High,Household Type,type3,196,162
Number Of Cars,2,Household Income,High,Household Type,type3,163,180
Number Of Cars,3,Household Income,High,Household Type,type3,127,161
Number Of Cars,0,Household Income,Low,Household Type,type1,156,274
Number Of Cars,1,Household Income,Low,Household Type,type1,155,177
Number Of Cars,2,Household Income,Low,Household Type,type1,77,46
Number Of Cars,3,Household Income,Low,Household Type,type1,168,59
Number Of Cars,0,Household Income,Low,Household Type,type2,196,163
Number Of Cars,1,Household Income,Low,Household Type,type2,270,208
Number Of Cars,2,Household Income,Low,Household Type,type2,202,255
Number Of Cars,3,Household Income,Low,Household Type,type2,224,267
Number Of Cars,0,Household Income,Low,Household Type,type3,227,237
Number Of Cars,1,Household Income,Low,Household Type,type3,167,137
Number Of Cars,2,Household Income,Low,Household Type,type3,141,136
Number Of Cars,3,Household Income,Low,Household Type,type3,83,108
HouseholdSize,1,Household Income,High,Household Type,type1,270,270
HouseholdSize,1,Household Income,High,Household Type,type2,166,166
HouseholdSize,1,Household Income,High,Household Type,type3,149,149
HouseholdSize,1,Household Income,Low,Household Type,type1,183,183
HouseholdSize,1,Household Income,Low,Household Type,type2,312,313
HouseholdSize,1,Household Income,Low,Household Type,type3,212,212
HouseholdSize,2,Household Income,High,Household Type,type1,249,249
HouseholdSize,2,Household Income,High,Household Type,type2,265,265
HouseholdSize,2,Household Income,High,Household Type,type3,245,244
HouseholdSize,2,Household Income,Low,Household Type,type1,180,180
HouseholdSize,2,Household Income,Low,Household Type,type2,232,232
HouseholdSize,2,Household Income,Low,Household Type,type3,215,215
HouseholdSize,3,Household Income,High,Household Type,type1,136,137
HouseholdSize,3,Household Income,High,Household Type,type2,200,200
HouseholdSize,3,Household Income,High,Household Type,type3,295,295
HouseholdSize,3,Household Income,Low,Household Type,type1,193,193
HouseholdSize,3,Household Income,Low,Household Type,type2,348,348
HouseholdSize,3,Household Income,Low,Household Type,type3,191,191
Number Of Cars,0,HouseholdSize,1,Household Type,type1,121,123
Number Of Cars,1,HouseholdSize,1,Household Type,type1,156,153
Number Of Cars,2,HouseholdSize,1,Household Type,type1,71,94
Number Of Cars,3,HouseholdSize,1,Household Type,type1,105,83
Number Of Cars,0,HouseholdSize,1,Household Type,type2,138,247
Number Of Cars,1,HouseholdSize,1,Household Type,type2,116,86
Number Of Cars,2,HouseholdSize,1,Household Type,type2,140,93
Number Of Cars,3,HouseholdSize,1,Household Type,type2,84,53
Number Of Cars,0,HouseholdSize,1,Household Type,type3,179,199
Number Of Cars,1,HouseholdSize,1,Household Type,type3,113,96
Number Of Cars,2,HouseholdSize,1,Household Type,type3,47,36
Number Of Cars,3,HouseholdSize,1,Household Type,type3,22,30
Number Of Cars,0,HouseholdSize,2,Household Type,type1,161,230
Number Of Cars,1,HouseholdSize,2,Household Type,type1,32,29
Number Of Cars,2,HouseholdSize,2,Household Type,type1,95,84
Number Of Cars,3,HouseholdSize,2,Household Type,type1,141,86
Number Of Cars,0,HouseholdSize,2,Household Type,type2,83,76
Number Of Cars,1,HouseholdSize,2,Household Type,type2,163,164
Number Of Cars,2,HouseholdSize,2,Household Type,type2,81,80
Number Of Cars,3,HouseholdSize,2,Household Type,type2,170,177
Number Of Cars,0,HouseholdSize,2,Household Type,type3,111,102
