HouseholdSize:Output,Household Income:Output,Household Type:Output,Number Of Cars:Output,Frequency
1,High,type1,0,287
1,High,type1,1,134
1,High,type1,2,228
1,High,type1,3,68
1,High,type2,0,84
1,High,type2,1,262
1,High,type2,2,243
1,High,type2,3,0
1,High,type3,0,94
1,High,type3,1,139
1,High,type3,2,0
1,High,type3,3,132
1,Low,type1,0,379
1,Low,type1,1,0
1,Low,type1,2,0
1,Low,type1,3,179
1,Low,type2,0,0
1,Low,type2,1,0
1,Low,type2,2,186
1,Low,type2,3,348
1,Low,type3,0,0
1,Low,type3,1,289
1,Low,type3,2,216
1,Low,type3,3,167
2,High,type1,0,0
2,High,type1,1,165
2,High,type1,2,0
2,High,type1,3,0
2,High,type2,0,328
2,High,type2,1,187
2,High,type2,2,0
2,High,type2,3,176
2,High,type3,0,0
2,High,type3,1,190
2,High,type3,2,278
2,High,type3,3,345
2,Low,type1,0,0
2,Low,type1,1,0
2,Low,type1,2,348
2,Low,type1,3,0
2,Low,type2,0,0
2,Low,type2,1,0
2,Low,type2,2,0
2,Low,type2,3,0
2,Low,type3,0,505
2,Low,type3,1,295
2,Low,type3,2,189
2,Low,type3,3,341
3,High,type1,0,219
3,High,type1,1,0
3,High,type1,2,728
3,High,type1,3,0
3,High,type2,0,409
3,High,type2,1,0
3,High,type2,2,0
3,High,type2,3,0
3,High,type3,0,197
3,High,type3,1,0
3,High,type3,2,0
3,High,type3,3,0
3,Low,type1,0,0
3,Low,type1,1,0
3,Low,type1,2,0
3,Low,type1,3,0
3,Low,type2,0,0
3,Low,type2,1,348
3,Low,type2,2,0
3,Low,type2,3,249
3,Low,type3,0,72
3,Low,type3,1,371
3,Low,type3,2,107
3,Low,type3,3,525
4,High,type1,0,0
4,High,type1,1,0
4,High,type1,2,397
4,High,type1,3,262
4,High,type2,0,262
4,High,type2,1,140
4,High,type2,2,0
4,High,type2,3,252
4,High,type3,0,81
4,High,type3,1,0
4,High,type3,2,0
4,High,type3,3,276
4,Low,type1,0,0
4,Low,type1,1,778
4,Low,type1,2,0
4,Low,type1,3,0
4,Low,type2,0,448
4,Low,type2,1,0
4,Low,type2,2,0
4,Low,type2,3,0
4,Low,type3,0,0
4,Low,type3,1,0
4,Low,type3,2,434
4,Low,type3,3,0
5,High,type1,0,0
5,High,type1,1,128
5,High,type1,2,0
5,High,type1,3,0
5,High,type2,0,0
5,High,type2,1,286
5,High,type2,2,0
5,High,type2,3,187
5,High,type3,0,377
5,High,type3,1,0
5,High,type3,2,521
5,High,type3,3,195
5,Low,type1,0,232
5,Low,type1,1,189
5,Low,type1,2,0
5,Low,type1,3,155
5,Low,type2,0,235
5,Low,type2,1,174
5,Low,type2,2,132
5,Low,type2,3,0
5,Low,type3,0,0
5,Low,type3,1,0
5,Low,type3,2,273
5,Low,type3,3,298
6,High,type1,0,110
6,High,type1,1,351
6,High,type1,2,38
6,High,type1,3,0
6,High,type2,0,60
6,High,type2,1,0
6,High,type2,2,37
6,High,type2,3,713
6,High,type3,0,0
6,High,type3,1,326
6,High,type3,2,34
6,High,type3,3,0
6,Low,type1,0,0
6,Low,type1,1,0
6,Low,type1,2,427
6,Low,type1,3,0
6,Low,type2,0,389
6,Low,type2,1,0
6,Low,type2,2,208
6,Low,type2,3,0
6,Low,type3,0,388
6,Low,type3,1,0
6,Low,type3,2,200
6,Low,type3,3,0
