age,gender,work,householdID
9,false,enseignant,0
40,false,ecolier,0
26,true,agriculteur,0
71,false,artisant,0
25,true,ecolier,1
22,true,ecolier,1
59,true,sans_activite,1
82,false,artisant,1
51,true,ouvrier_batiment,2
25,false,artisant,3
68,false,enseignant,3
65,true,agriculteur,4
42,true,employe_prive,4
78,true,militaire,4
41,false,militaire,4
83,false,artisant,4
3,true,conducteur,5
24,true,employe_prive,5
35,true,enseignant,6
68,false,ouvrier_agricole,6
21,true,artisant,7
63,false,militaire,8
59,false,agriculteur,9
3,true,ouvrier_batiment,10
46,true,ouvrier_batiment,10
73,true,employe_prive,10
29,false,ouvrier_agricole,10
78,true,ouvrier_batiment,11
5,false,commercant,11
90,true,ouvrier_agricole,11
0,true,agriculteur,11
65,true,artisant,11
70,true,ecolier,11
11,true,agriculteur,12
79,false,militaire,12
24,true,ecolier,12
20,true,sans_activite,13
18,true,enseignant,13
2,false,militaire,13
46,false,retraite,13
98,false,conducteur,13
97,false,ouvrier,13
67,false,conducteur,14
78,true,conducteur,14
87,false,ouvrier_batiment,14
93,true,ouvrier_batiment,15
14,true,ouvrier_agricole,15
3,false,ouvrier_agricole,15
61,true,ouvrier_agricole,15
61,true,ouvrier,16
19,false,ouvrier,16
69,false,commercant,16
21,false,ouvrier_batiment,16
5,false,ecolier,16
78,false,militaire,17
51,false,ouvrier_batiment,17
27,false,agriculteur,18
77,false,agriculteur,18
64,false,artisant,18
78,false,sans_activite,18
72,true,ouvrier_agricole,18
99,true,commercant,18
13,true,employe_prive,19
20,true,retraite,19
56,false,employe_prive,20
80,false,ecolier,20
88,false,commercant,21
60,false,ouvrier_batiment,22
42,true,militaire,22
21,false,sans_activite,22
30,false,ouvrier_agricole,22
22,false,retraite,22
89,false,sans_activite,23
25,true,employe_prive,23
77,false,artisant,23
57,true,employe_prive,24
73,false,employe_prive,24
77,true,agriculteur,25
52,false,retraite,25
65,true,enseignant,26
73,true,retraite,26
69,false,employe_prive,26
28,true,sans_activite,27
19,false,agriculteur,27
22,false,ouvrier_agricole,28
39,true,ouvrier_agricole,28
22,true,sans_activite,28
33,true,conducteur,28
95,false,enseignant,28
85,true,employe_prive,29
3,false,agriculteur,29
34,false,employe_prive,29
11,true,sans_activite,29
34,false,commercant,29
88,true,retraite,29
46,true,conducteur,30
90,true,retraite,31
29,true,ecolier,31
15,true,artisant,32
36,false,ouvrier_batiment,32
25,true,ouvrier,32
38,true,ecolier,33
39,true,retraite,33
6,true,retraite,33
22,false,employe_prive,34
68,true,employe_prive,34
20,false,sans_activite,34
43,true,ecolier,34
