Household Income,High,HouseholdSize,1,Number Of Cars,0,Household Type,type1,47
Household Income,High,HouseholdSize,1,Number Of Cars,1,Household Type,type1,92
Household Income,High,HouseholdSize,1,Number Of Cars,2,Household Type,type1,34
Household Income,High,HouseholdSize,1,Number Of Cars,3,Household Type,type1,97
Household Income,High,HouseholdSize,1,Number Of Cars,0,Household Type,type2,58
Household Income,High,HouseholdSize,1,Number Of Cars,1,Household Type,type2,21
Household Income,High,HouseholdSize,1,Number Of Cars,2,Household Type,type2,50
Household Income,High,HouseholdSize,1,Number Of Cars,3,Household Type,type2,37
Household Income,High,HouseholdSize,1,Number Of Cars,0,Household Type,type3,90
Household Income,High,HouseholdSize,1,Number Of Cars,1,Household Type,type3,38
Household Income,High,HouseholdSize,1,Number Of Cars,2,Household Type,type3,5
Household Income,High,HouseholdSize,1,Number Of Cars,3,Household Type,type3,16
Household Income,Low,HouseholdSize,1,Number Of Cars,0,Household Type,type1,74
Household Income,Low,HouseholdSize,1,Number Of Cars,1,Household Type,type1,64
Household Income,Low,HouseholdSize,1,Number Of Cars,2,Household Type,type1,37
Household Income,Low,HouseholdSize,1,Number Of Cars,3,Household Type,type1,8
Household Income,Low,HouseholdSize,1,Number Of Cars,0,Household Type,type2,80
Household Income,Low,HouseholdSize,1,Number Of Cars,1,Household Type,type2,95
Household Income,Low,HouseholdSize,1,Number Of Cars,2,Household Type,type2,90
Household Income,Low,HouseholdSize,1,Number Of Cars,3,Household Type,type2,47
Household Income,Low,HouseholdSize,1,Number Of Cars,0,Household Type,type3,89
Household Income,Low,HouseholdSize,1,Number Of Cars,1,Household Type,type3,75
Household Income,Low,HouseholdSize,1,Number Of Cars,2,Household Type,type3,42
Household Income,Low,HouseholdSize,1,Number Of Cars,3,Household Type,type3,6
Household Income,High,HouseholdSize,2,Number Of Cars,0,Household Type,type1,86
Household Income,High,HouseholdSize,2,Number Of Cars,1,Household Type,type1,25
Household Income,High,HouseholdSize,2,Number Of Cars,2,Household Type,type1,84
Household Income,High,HouseholdSize,2,Number Of Cars,3,Household Type,type1,54
Household Income,High,HouseholdSize,2,Number Of Cars,0,Household Type,type2,37
Household Income,High,HouseholdSize,2,Number Of Cars,1,Household Type,type2,78
Household Income,High,HouseholdSize,2,Number Of Cars,2,Household Type,type2,67
Household Income,High,HouseholdSize,2,Number Of Cars,3,Household Type,type2,83
Household Income,High,HouseholdSize,2,Number Of Cars,0,Household Type,type3,66
Household Income,High,HouseholdSize,2,Number Of Cars,1,Household Type,type3,73
Household Income,High,HouseholdSize,2,Number Of Cars,2,Household Type,type3,74
Household Income,High,HouseholdSize,2,Number Of Cars,3,Household Type,type3,32
Household Income,Low,HouseholdSize,2,Number Of Cars,0,Household Type,type1,75
Household Income,Low,HouseholdSize,2,Number Of Cars,1,Household Type,type1,7
Household Income,Low,HouseholdSize,2,Number Of Cars,2,Household Type,type1,11
Household Income,Low,HouseholdSize,2,Number Of Cars,3,Household Type,type1,87
Household Income,Low,HouseholdSize,2,Number Of Cars,0,Household Type,type2,46
Household Income,Low,HouseholdSize,2,Number Of Cars,1,Household Type,type2,85
Household Income,Low,HouseholdSize,2,Number Of Cars,2,Household Type,type2,14
Household Income,Low,HouseholdSize,2,Number Of Cars,3,Household Type,type2,87
Household Income,Low,HouseholdSize,2,Number Of Cars,0,Household Type,type3,45
Household Income,Low,HouseholdSize,2,Number Of Cars,1,Household Type,type3,85
Household Income,Low,HouseholdSize,2,Number Of Cars,2,Household Type,type3,29
Household Income,Low,HouseholdSize,2,Number Of Cars,3,Household Type,type3,56
Household Income,High,HouseholdSize,3,Number Of Cars,0,Household Type,type1,55
Household Income,High,HouseholdSize,3,Number Of Cars,1,Household Type,type1,8
Household Income,High,HouseholdSize,3,Number Of Cars,2,Household Type,type1,10
Household Income,High,HouseholdSize,3,Number Of Cars,3,Household Type,type1,63
Household Income,High,HouseholdSize,3,Number Of Cars,0,Household Type,type2,75
Household Income,High,HouseholdSize,3,Number Of Cars,1,Household Type,type2,47
Household Income,High,HouseholdSize,3,Number Of Cars,2,Household Type,type2,55
Household Income,High,HouseholdSize,3,Number Of Cars,3,Household Type,type2,23
Household Income,High,HouseholdSize,3,Number Of Cars,0,Household Type,type3,47
Household Income,High,HouseholdSize,3,Number Of Cars,1,Household Type,type3,85
Household Income,High,HouseholdSize,3,Number Of Cars,2,Household Type,type3,84
Household Income,High,HouseholdSize,3,Number Of Cars,3,Household Type,type3,79
Household Income,Low,HouseholdSize,3,Number Of Cars,0,Household Type,type1,7
Household Income,Low,HouseholdSize,3,Number Of Cars,1,Household Type,type1,84
Household Income,Low,HouseholdSize,3,Number Of Cars,2,Household Type,type1,29
Household Income,Low,HouseholdSize,3,Number Of Cars,3,Household Type,type1,73
Household Income,Low,HouseholdSize,3,Number Of Cars,0,Household Type,type2,70
Household Income,Low,HouseholdSize,3,Number Of Cars,1,Household Type,type2,90
Household Income,Low,HouseholdSize,3,Number Of Cars,2,Household Type,type2,98
Household Income,Low,HouseholdSize,3,Number Of Cars,3,Household Type,type2,90
Household Income,Low,HouseholdSize,3,Number Of Cars,0,Household Type,type3,93
Household Income,Low,HouseholdSize,3,Number Of Cars,1,Household Type,type3,7
Household Income,Low,HouseholdSize,3,Number Of Cars,2,Household Type,type3,70
Household Income,Low,HouseholdSize,3,Number Of Cars,3,Household Type,type3,21
