HouseholdSize:Output,Household Income:Output,Household Type:Output,Number Of Cars:Output,Frequency
1,High,type1,0,108
1,High,type1,1,206
1,High,type1,2,186
1,High,type1,3,162
1,High,type2,0,127
1,High,type2,1,103
1,High,type2,2,77
1,High,type2,3,109
1,High,type3,0,109
1,High,type3,1,96
1,High,type3,2,115
1,High,type3,3,165
1,Low,type1,0,81
1,Low,type1,1,123
1,Low,type1,2,90
1,Low,type1,3,168
1,Low,type2,0,243
1,Low,type2,1,90
1,Low,type2,2,193
1,Low,type2,3,113
1,Low,type3,0,192
1,Low,type3,1,171
1,Low,type3,2,234
1,Low,type3,3,174
2,High,type1,0,105
2,High,type1,1,177
2,High,type1,2,151
2,High,type1,3,147
2,High,type2,0,134
2,High,type2,1,171
2,High,type2,2,138
2,High,type2,3,57
2,High,type3,0,129
2,High,type3,1,170
2,High,type3,2,126
2,High,type3,3,95
2,Low,type1,0,79
2,Low,type1,1,81
2,Low,type1,2,239
2,Low,type1,3,131
2,Low,type2,0,147
2,Low,type2,1,170
2,Low,type2,2,108
2,Low,type2,3,96
2,Low,type3,0,155
2,Low,type3,1,177
2,Low,type3,2,200
2,Low,type3,3,163
3,High,type1,0,116
3,High,type1,1,169
3,High,type1,2,115
3,High,type1,3,93
3,High,type2,0,73
3,High,type2,1,117
3,High,type2,2,137
3,High,type2,3,132
3,High,type3,0,162
3,High,type3,1,216
3,High,type3,2,63
3,High,type3,3,189
3,Low,type1,0,119
3,Low,type1,1,149
3,Low,type1,2,129
3,Low,type1,3,190
3,Low,type2,0,154
3,Low,type2,1,60
3,Low,type2,2,123
3,Low,type2,3,142
3,Low,type3,0,173
3,Low,type3,1,197
3,Low,type3,2,102
3,Low,type3,3,105
4,High,type1,0,137
4,High,type1,1,152
4,High,type1,2,134
4,High,type1,3,210
4,High,type2,0,183
4,High,type2,1,180
4,High,type2,2,175
4,High,type2,3,150
4,High,type3,0,117
4,High,type3,1,188
4,High,type3,2,60
4,High,type3,3,87
4,Low,type1,0,155
4,Low,type1,1,113
4,Low,type1,2,105
4,Low,type1,3,155
4,Low,type2,0,81
4,Low,type2,1,146
4,Low,type2,2,69
4,Low,type2,3,84
4,Low,type3,0,139
4,Low,type3,1,158
4,Low,type3,2,208
4,Low,type3,3,145
5,High,type1,0,163
5,High,type1,1,166
5,High,type1,2,98
5,High,type1,3,132
5,High,type2,0,151
5,High,type2,1,164
5,High,type2,2,165
5,High,type2,3,104
5,High,type3,0,107
5,High,type3,1,172
5,High,type3,2,247
5,High,type3,3,128
5,Low,type1,0,72
5,Low,type1,1,172
5,Low,type1,2,136
5,Low,type1,3,133
5,Low,type2,0,104
5,Low,type2,1,121
5,Low,type2,2,197
5,Low,type2,3,144
5,Low,type3,0,126
5,Low,type3,1,134
5,Low,type3,2,108
5,Low,type3,3,138
6,High,type1,0,195
6,High,type1,1,55
6,High,type1,2,125
6,High,type1,3,112
6,High,type2,0,109
6,High,type2,1,138
6,High,type2,2,144
6,High,type2,3,147
6,High,type3,0,192
6,High,type3,1,136
6,High,type3,2,149
6,High,type3,3,108
6,Low,type1,0,199
6,Low,type1,1,178
6,Low,type1,2,121
6,Low,type1,3,156
6,Low,type2,0,159
6,Low,type2,1,156
6,Low,type2,2,90
6,Low,type2,3,95
6,Low,type3,0,83
6,Low,type3,1,170
6,Low,type3,2,153
6,Low,type3,3,111
