HouseholdSize:Output,Household Income:Output,Household Type:Output,Number Of Cars:Output,Frequency
1,High,type1,0,136
1,High,type1,1,218
1,High,type1,2,182
1,High,type1,3,191
1,High,type2,0,133
1,High,type2,1,104
1,High,type2,2,95
1,High,type2,3,128
1,High,type3,0,120
1,High,type3,1,88
1,High,type3,2,123
1,High,type3,3,153
1,Low,type1,0,69
1,Low,type1,1,136
1,Low,type1,2,71
1,Low,type1,3,155
1,Low,type2,0,221
1,Low,type2,1,107
1,Low,type2,2,167
1,Low,type2,3,88
1,Low,type3,0,165
1,Low,type3,1,172
1,Low,type3,2,236
1,Low,type3,3,177
2,High,type1,0,101
2,High,type1,1,143
2,High,type1,2,145
2,High,type1,3,202
2,High,type2,0,164
2,High,type2,1,151
2,High,type2,2,137
2,High,type2,3,61
2,High,type3,0,164
2,High,type3,1,159
2,High,type3,2,99
2,High,type3,3,143
2,Low,type1,0,84
2,Low,type1,1,65
2,Low,type1,2,200
2,Low,type1,3,146
2,Low,type2,0,162
2,Low,type2,1,137
2,Low,type2,2,64
2,Low,type2,3,132
2,Low,type3,0,159
2,Low,type3,1,181
2,Low,type3,2,170
2,Low,type3,3,177
3,High,type1,0,132
3,High,type1,1,125
3,High,type1,2,119
3,High,type1,3,93
3,High,type2,0,72
3,High,type2,1,102
3,High,type2,2,135
3,High,type2,3,169
3,High,type3,0,156
3,High,type3,1,166
3,High,type3,2,104
3,High,type3,3,180
3,Low,type1,0,131
3,Low,type1,1,147
3,Low,type1,2,132
3,Low,type1,3,222
3,Low,type2,0,157
3,Low,type2,1,55
3,Low,type2,2,146
3,Low,type2,3,119
3,Low,type3,0,150
3,Low,type3,1,211
3,Low,type3,2,117
3,Low,type3,3,85
4,High,type1,0,136
4,High,type1,1,138
4,High,type1,2,146
4,High,type1,3,208
4,High,type2,0,160
4,High,type2,1,155
4,High,type2,2,190
4,High,type2,3,128
4,High,type3,0,112
4,High,type3,1,138
4,High,type3,2,64
4,High,type3,3,95
4,Low,type1,0,146
4,Low,type1,1,121
4,Low,type1,2,106
4,Low,type1,3,169
4,Low,type2,0,104
4,Low,type2,1,147
4,Low,type2,2,98
4,Low,type2,3,88
4,Low,type3,0,127
4,Low,type3,1,186
4,Low,type3,2,225
4,Low,type3,3,144
5,High,type1,0,160
5,High,type1,1,129
5,High,type1,2,107
5,High,type1,3,112
5,High,type2,0,197
5,High,type2,1,110
5,High,type2,2,143
5,High,type2,3,109
5,High,type3,0,106
5,High,type3,1,137
5,High,type3,2,216
5,High,type3,3,169
5,Low,type1,0,95
5,Low,type1,1,158
5,Low,type1,2,131
5,Low,type1,3,150
5,Low,type2,0,114
5,Low,type2,1,109
5,Low,type2,2,214
5,Low,type2,3,154
5,Low,type3,0,172
5,Low,type3,1,134
5,Low,type3,2,115
5,Low,type3,3,141
6,High,type1,0,171
6,High,type1,1,59
6,High,type1,2,141
6,High,type1,3,135
6,High,type2,0,121
6,High,type2,1,139
6,High,type2,2,151
6,High,type2,3,216
6,High,type3,0,153
6,High,type3,1,124
6,High,type3,2,141
6,High,type3,3,117
6,Low,type1,0,165
6,Low,type1,1,173
6,Low,type1,2,126
6,Low,type1,3,162
6,Low,type2,0,141
6,Low,type2,1,146
6,Low,type2,2,69
6,Low,type2,3,100
6,Low,type3,0,70
6,Low,type3,1,170
6,Low,type3,2,166
6,Low,type3,3,125
