age,gender,work,householdID
17,true,enseignant,8691
73,true,enseignant,8691
12,false,employe_prive,8691
23,false,ouvrier_batiment,8691
19,true,enseignant,8691
47,true,ouvrier,8691
96,false,enseignant,4534
41,false,sans_activite,9160
88,true,commercant,9160
84,false,enseignant,2496
4,true,conducteur,2496
73,false,enseignant,547
95,false,ouvrier,547
59,true,ouvrier_batiment,547
30,false,militaire,547
72,true,sans_activite,5711
20,false,ouvrier_agricole,1058
17,false,ouvrier_agricole,1058
67,true,enseignant,1058
16,true,ouvrier_agricole,1058
45,false,enseignant,2710
4,false,conducteur,2710
52,true,enseignant,2710
62,true,employe_prive,9627
34,true,conducteur,9627
84,true,agriculteur,9627
78,false,ouvrier_batiment,9627
51,false,ouvrier_batiment,9627
46,false,militaire,9627
30,false,ouvrier_agricole,2016
7,true,ouvrier_batiment,2016
45,true,ouvrier,2016
69,true,ouvrier_agricole,2016
13,true,commercant,2016
80,false,commercant,2016
42,false,agriculteur,6567
20,false,ecolier,8519
19,true,retraite,8519
57,false,enseignant,7885
80,false,militaire,7885
56,false,commercant,7885
80,true,artisant,7885
24,true,conducteur,1673
55,true,militaire,1673
55,false,agriculteur,1847
21,true,sans_activite,1847
22,true,conducteur,1847
94,false,sans_activite,1847
52,false,commercant,5132
29,false,sans_activite,9219
28,true,sans_activite,9219
75,false,sans_activite,7133
38,false,artisant,7133
30,true,artisant,7133
79,false,employe_prive,1784
21,true,ouvrier_batiment,1784
57,true,ouvrier_batiment,1784
59,false,ecolier,1784
95,false,artisant,1784
56,true,conducteur,1784
25,false,sans_activite,8121
84,false,militaire,8985
29,false,retraite,8985
78,true,ouvrier_agricole,8985
9,true,artisant,8985
68,true,ecolier,8985
66,true,militaire,8985
55,false,ouvrier,8610
21,false,commercant,8610
27,true,militaire,8610
13,true,sans_activite,8610
2,true,sans_activite,8610
22,false,ouvrier,8610
2,true,retraite,1637
76,false,ouvrier_agricole,1637
42,true,agriculteur,1637
71,false,artisant,1637
41,false,enseignant,2657
