householdSize,householdIncome,householdType,numberOfCars,householdID
1,Low,type3,2,7495
1,Low,type2,2,16335
5,High,type3,3,14514
1,High,type3,3,2619
6,Low,type2,2,1391
1,Low,type3,0,18245
3,Low,type1,2,2165
4,High,type2,2,16952
2,High,type3,1,15547
6,Low,type1,0,6548
4,High,type1,2,6710
6,Low,type1,0,8822
3,Low,type3,3,11845
1,High,type1,3,1602
1,Low,type1,0,12940
5,High,type2,0,685
2,High,type2,3,6915
2,Low,type3,0,15944
1,Low,type1,0,17395
4,Low,type2,1,8730
1,High,type2,0,11915
3,High,type2,1,16749
2,Low,type3,1,13926
2,High,type2,1,9091
3,High,type2,0,5222
1,High,type1,3,14174
3,High,type3,3,5212
5,Low,type1,0,16047
3,High,type3,2,18131
4,Low,type3,3,8210
1,High,type2,2,2239
6,High,type2,3,15229
5,Low,type3,3,11770
3,High,type2,0,19977
4,Low,type3,1,3918
4,Low,type1,1,346
5,High,type2,2,18317
3,Low,type1,0,3161
6,High,type3,1,10241
3,Low,type3,3,19510
4,Low,type3,3,2800
5,Low,type3,0,6055
5,High,type1,1,6362
2,High,type3,2,16343
1,High,type2,0,624
5,Low,type1,1,13027
2,Low,type2,0,6516
5,High,type2,3,4192
4,High,type3,0,18399
4,High,type1,2,5460
5,Low,type3,2,1756
1,Low,type2,1,4285
2,High,type1,0,13900
4,Low,type3,0,699
2,High,type2,1,6775
5,Low,type2,3,79
6,Low,type3,2,12808
4,Low,type3,2,19087
4,Low,type2,0,5781
4,High,type1,2,13859
5,Low,type2,1,16021
1,Low,type3,0,3207
2,High,type2,3,5450
3,High,type3,2,4875
6,Low,type1,3,6732
1,High,type1,0,10487
1,High,type1,3,17086
3,High,type3,1,5947
1,High,type2,1,19508
3,Low,type2,1,12895
4,Low,type3,0,5013
4,High,type2,0,8016
2,Low,type3,0,11599
3,Low,type1,1,1764
6,Low,type3,3,8800
1,Low,type3,2,14573
5,High,type1,0,7461
3,Low,type2,0,2834
1,High,type3,3,7048
2,High,type2,0,4156
4,High,type3,1,16896
2,Low,type3,1,4612
1,Low,type1,0,7416
1,High,type2,0,14666
1,High,type1,0,11151
1,Low,type2,1,10660
4,Low,type2,2,11305
1,Low,type1,1,2551
1,High,type1,3,11513
6,High,type1,3,8469
1,High,type2,1,9647
5,High,type1,2,789
3,High,type2,3,17370
4,Low,type2,2,17795
1,High,type3,2,8122
3,High,type1,1,15877
5,High,type3,0,1266
2,Low,type1,1,5599
1,Low,type2,1,12705
5,High,type2,2,8802
1,High,type1,1,13495
2,Low,type1,2,11430
5,High,type3,1,17466
5,Low,type1,2,19141
6,High,type3,0,11630
6,Low,type3,3,18858
