householdSize,householdIncome,householdType,numberOfCars,householdID
2,Low,type2,0,10649
6,Low,type3,0,7194
3,High,type3,3,19242
3,Low,type2,0,4210
2,Low,type1,0,1094
6,Low,type2,0,16427
5,High,type1,0,13251
6,High,type1,3,12211
4,Low,type3,2,14762
4,High,type2,2,10264
2,High,type3,2,14365
1,Low,type2,0,2631
3,Low,type1,3,5837
6,Low,type2,1,403
4,High,type3,1,2107
1,High,type2,2,17463
4,Low,type2,0,8691
5,High,type3,3,16445
1,High,type3,2,16374
5,Low,type1,3,8099
6,High,type2,1,18011
1,High,type1,1,13477
5,High,type1,0,7461
6,Low,type3,1,8742
1,High,type1,3,1848
2,High,type1,2,17538
6,Low,type3,1,10045
1,Low,type3,3,12880
5,High,type1,0,18506
1,Low,type1,1,17764
5,High,type2,2,153
3,High,type3,2,11496
5,Low,type2,0,285
3,Low,type1,1,9723
2,Low,type3,2,4268
4,Low,type3,1,1818
1,High,type3,3,14582
5,Low,type1,3,16842
1,Low,type3,0,3207
4,Low,type1,2,13902
6,Low,type1,2,8753
2,High,type2,0,14361
1,High,type2,0,17826
5,High,type1,3,14686
6,High,type3,3,14129
1,Low,type1,3,9997
5,High,type3,0,12117
2,Low,type3,3,16915
4,Low,type3,1,6157
3,High,type3,3,11602
1,Low,type3,1,16569
2,Low,type2,1,456
6,Low,type1,1,16446
2,High,type1,1,14955
1,Low,type2,0,18304
3,High,type3,1,16267
5,Low,type2,2,11483
3,High,type2,3,14706
6,Low,type1,0,8457
1,High,type3,2,9801
6,Low,type1,0,18055
1,High,type2,0,3590
6,High,type1,0,2087
2,Low,type1,0,18990
2,High,type3,1,16199
2,High,type2,2,7620
4,High,type2,3,18025
3,High,type3,1,15305
6,High,type3,2,2746
6,Low,type1,0,5636
5,Low,type2,1,17588
5,High,type2,3,3707
3,High,type3,3,933
5,High,type1,2,16255
6,Low,type1,0,2703
3,High,type1,1,14439
2,Low,type2,1,19063
3,Low,type1,2,17579
2,Low,type3,1,17391
4,Low,type3,1,1140
4,Low,type1,0,10398
3,High,type1,1,6728
1,High,type2,2,12005
4,Low,type1,0,10791
2,High,type1,1,15111
2,Low,type2,1,10170
4,High,type1,3,8931
2,High,type2,1,8211
5,High,type3,2,15521
3,Low,type2,1,12244
4,Low,type3,2,6805
3,High,type3,3,4352
6,High,type1,1,13149
4,Low,type1,1,15460
4,Low,type3,1,5707
2,High,type2,0,12392
4,Low,type3,2,18470
4,Low,type3,1,19922
6,High,type3,2,13638
4,High,type3,1,19953
1,Low,type3,2,7352
6,High,type3,2,19310
6,Low,type1,0,11820
4,Low,type1,3,19385
2,Low,type2,2,19958
5,High,type1,1,210
3,Low,type1,2,7324
5,Low,type2,0,14160
3,High,type2,1,3647
3,High,type3,1,7447
1,Low,type1,0,11118
1,High,type1,1,11476
1,High,type1,3,3384
5,High,type2,1,3697
4,Low,type2,1,13858
5,High,type1,1,8463
6,Low,type2,0,12054
6,High,type1,3,5845
2,Low,type3,2,3388
6,Low,type3,1,17323
3,Low,type1,1,3201
6,High,type2,2,13078
3,High,type3,1,12133
3,Low,type1,0,13536
5,High,type2,1,14424
4,High,type2,0,12684
3,Low,type2,0,4913
4,Low,type1,3,1016
2,High,type1,1,1642
3,High,type2,2,6680
5,High,type2,1,3181
5,High,type2,1,2510
2,High,type1,0,10580
2,High,type2,2,11235
5,High,type1,1,18543
1,High,type1,1,136
3,Low,type3,0,9955
5,High,type1,0,18211
6,Low,type1,1,9641
1,Low,type1,2,1535
1,Low,type2,0,16272
3,High,type1,3,518
5,Low,type1,3,18485
2,High,type3,3,18116
6,Low,type2,1,9919
4,Low,type1,3,7558
4,Low,type3,2,15893
2,Low,type1,2,13999
2,High,type2,0,10319
1,Low,type2,2,10234
5,High,type2,0,15121
1,Low,type3,1,12878
2,Low,type3,2,11414
4,High,type2,2,11725
1,High,type2,3,6079
4,High,type1,2,13681
5,Low,type1,0,15736
6,Low,type1,0,11788
6,High,type3,1,9321
1,High,type1,2,6477
5,Low,type3,0,2852
2,High,type3,0,17751
6,Low,type2,0,253
3,Low,type3,1,417
5,Low,type3,3,1463
3,High,type2,0,2492
2,Low,type2,2,12632
4,High,type3,1,7074
3,High,type2,2,12121
2,Low,type3,2,16909
6,Low,type3,3,4799
1,Low,type3,2,19048
1,High,type2,3,7129
5,Low,type3,1,6244
5,High,type2,3,12259
2,Low,type3,2,1779
6,Low,type3,1,10436
1,Low,type2,1,18141
2,High,type3,0,13304
2,Low,type2,2,3621
5,Low,type1,2,7031
4,High,type2,0,5624
5,High,type2,2,229
3,High,type3,1,14158
1,High,type1,0,7153
6,Low,type2,2,16350
3,High,type1,2,16209
2,High,type2,0,4414
5,Low,type2,2,13852
2,Low,type3,2,15844
5,High,type2,2,18411
3,High,type1,3,4283
2,High,type3,3,11194
