householdSize,householdIncome,householdType,numberOfCars,householdID
2,High,type1,0,4568
3,Low,type1,0,15402
6,High,type2,3,1793
1,High,type1,2,1064
4,High,type1,3,15557
6,High,type2,2,7387
3,Low,type2,1,5211
3,High,type1,0,1126
6,High,type2,3,6334
5,Low,type3,1,17407
5,Low,type1,3,18579
2,Low,type3,1,11839
4,Low,type2,3,2037
1,High,type3,3,7048
4,High,type1,2,18669
2,High,type2,1,14793
3,High,type1,3,9886
4,Low,type2,3,276
2,High,type1,0,10331
4,High,type2,0,7880
3,Low,type1,3,18713
5,Low,type3,0,831
1,High,type1,0,14506
4,Low,type3,3,8210
5,High,type3,2,2761
1,High,type1,3,4931
1,High,type3,1,17831
4,Low,type3,0,17031
4,High,type2,0,1690
6,High,type1,0,19845
6,Low,type3,2,7873
6,Low,type3,2,18319
4,Low,type1,2,17746
4,High,type3,1,7030
4,Low,type1,0,10682
5,Low,type2,2,14918
4,Low,type3,0,12275
4,High,type1,2,5538
3,High,type2,0,17922
1,High,type1,1,2046
6,Low,type2,1,7703
1,Low,type3,3,19091
3,Low,type3,2,19605
6,Low,type2,3,11211
3,Low,type3,0,15723
3,High,type2,2,7178
6,Low,type3,3,10277
1,High,type2,3,5513
3,Low,type1,3,6827
1,Low,type2,0,14851
3,High,type3,1,14158
2,Low,type2,1,14030
2,High,type3,0,17642
5,High,type2,0,5872
4,High,type3,0,14590
3,High,type3,3,727
5,Low,type3,0,19330
5,High,type3,1,10815
5,High,type1,2,2315
1,Low,type1,2,1586
3,Low,type2,0,7783
2,High,type3,3,12583
1,Low,type1,3,15139
1,Low,type2,2,11046
3,High,type1,3,16960
1,High,type2,1,6286
2,Low,type2,1,16878
3,Low,type2,0,4587
6,High,type3,1,10869
2,High,type3,1,14447
5,Low,type1,0,18040
5,Low,type3,0,11601
2,High,type2,0,4205
5,High,type3,3,17858
5,High,type3,1,16911
3,Low,type1,3,4258
2,High,type3,3,7814
5,Low,type3,1,18402
5,Low,type3,1,10071
6,High,type3,0,2770
6,High,type3,3,17445
5,Low,type1,3,3937
1,High,type2,1,2380
5,Low,type1,1,18114
3,Low,type1,3,9998
5,Low,type3,0,375
6,Low,type1,1,8868
6,Low,type1,3,2108
5,High,type1,0,265
3,High,type2,1,14389
2,High,type3,2,16918
6,Low,type3,0,5400
2,High,type3,2,15041
5,Low,type2,3,14309
3,Low,type2,2,8952
5,Low,type2,0,3853
5,Low,type3,3,8088
3,High,type3,1,3842
3,Low,type1,2,12594
3,Low,type3,0,13174
3,Low,type2,0,11895
6,High,type3,1,607
1,Low,type1,0,6791
1,Low,type1,0,2861
5,High,type1,1,8784
4,High,type2,0,17631
4,Low,type1,2,19362
4,High,type2,1,3659
4,Low,type1,0,4280
5,Low,type3,1,12008
5,High,type2,0,9864
3,High,type3,3,14620
4,Low,type2,1,5412
2,Low,type1,2,7535
6,High,type3,3,9891
5,Low,type1,0,6848
4,High,type1,0,8483
4,High,type2,3,11170
1,High,type3,2,2786
4,High,type2,3,7817
3,High,type1,2,11102
3,Low,type2,2,17570
4,Low,type3,3,5268
6,High,type2,3,4930
1,High,type1,3,17845
5,Low,type1,3,15922
6,Low,type2,2,16861
1,Low,type3,1,8884
2,Low,type2,3,11167
1,Low,type3,3,13421
5,High,type3,0,4845
1,Low,type3,1,18521
4,High,type1,0,10012
3,Low,type3,2,13200
2,High,type1,0,12941
4,Low,type1,1,2168
1,High,type2,1,10846
5,High,type1,2,12485
5,High,type2,0,18639
5,High,type1,1,1819
2,High,type2,3,9367
5,High,type3,2,6640
1,Low,type2,2,18685
6,High,type3,0,9618
3,High,type2,3,1193
1,High,type2,3,5666
1,High,type3,0,3959
5,High,type3,0,5190
3,Low,type3,3,12821
2,High,type2,1,15647
5,High,type1,1,10103
5,High,type3,3,16135
5,High,type1,1,12944
1,Low,type3,0,5052
1,Low,type1,2,15869
1,High,type2,1,18815
2,Low,type2,1,19027
6,High,type1,1,13846
3,High,type3,3,17822
2,High,type2,1,3876
4,High,type3,3,4983
6,High,type2,2,14401
4,High,type1,2,17467
6,High,type2,2,4148
5,Low,type1,0,14438
5,Low,type1,1,13266
6,High,type1,0,13290
5,Low,type2,0,13979
2,High,type3,3,12477
2,Low,type2,2,19349
1,Low,type1,1,1297
6,Low,type3,2,4062
5,Low,type3,0,15273
5,High,type2,2,8049
4,High,type2,3,8940
6,Low,type2,3,13885
5,High,type1,2,3166
3,High,type3,1,19981
4,High,type2,1,17025
2,Low,type2,3,7586
2,Low,type3,2,13834
1,Low,type2,3,12118
2,Low,type1,1,17185
4,Low,type2,0,19974
2,Low,type1,1,6396
1,Low,type1,2,18370
6,Low,type2,0,11183
2,Low,type1,2,19581
6,High,type2,3,7745
2,Low,type3,3,9432
5,High,type3,0,13810
3,Low,type2,0,17378
3,High,type2,3,12898
1,High,type1,3,9696
3,Low,type2,1,11362
3,Low,type3,1,2139
1,High,type2,3,14980
3,High,type1,1,9399
2,High,type2,0,9812
2,Low,type2,3,13015
