householdSize,householdIncome,householdType,numberOfCars,householdID
6,Low,type1,2,2968
3,High,type2,1,7470
5,High,type3,2,2861
1,High,type3,2,8026
3,Low,type1,1,1453
5,Low,type3,3,6854
3,High,type2,3,8553
6,High,type1,2,653
1,High,type3,3,8092
5,Low,type2,2,7545
1,High,type2,2,4017
5,High,type3,2,5728
3,High,type1,0,4700
6,Low,type3,0,4898
2,Low,type1,1,4014
5,High,type2,3,472
1,Low,type3,3,818
5,High,type2,3,1430
2,High,type3,0,6483
3,High,type3,2,588
3,High,type2,0,1852
1,High,type3,3,7335
1,High,type3,1,4465
4,High,type2,3,6411
6,Low,type2,0,2083
2,Low,type2,0,8725
1,High,type1,0,1440
6,High,type3,2,6179
3,Low,type2,1,2323
3,High,type2,0,2723
6,High,type2,2,2891
2,High,type2,3,2536
4,Low,type2,2,2691
5,High,type1,0,79
6,High,type2,3,5960
5,Low,type3,3,4411
5,Low,type1,0,7619
5,Low,type2,0,7211
5,High,type2,2,4574
4,High,type1,2,1785
3,High,type1,0,3667
4,Low,type1,3,667
1,Low,type3,1,6085
6,High,type3,1,712
3,High,type1,1,2913
3,Low,type1,1,6893
1,High,type3,2,8317
4,High,type1,3,8360
3,High,type2,3,6313
4,Low,type2,1,5720
4,High,type2,0,4389
6,Low,type1,1,8828
1,High,type2,3,1310
3,High,type3,3,3262
1,Low,type3,2,6375
1,High,type3,2,3559
4,Low,type1,1,1020
1,Low,type2,3,4160
2,High,type1,3,5407
3,Low,type2,0,239
4,High,type2,2,3953
1,High,type2,3,2539
4,High,type1,3,1470
1,High,type1,0,1380
4,Low,type1,0,317
4,Low,type1,0,9620
5,Low,type3,1,8647
1,High,type2,3,573
4,Low,type3,0,6191
3,Low,type3,0,9221
2,High,type3,0,8321
2,Low,type2,0,5070
4,Low,type2,0,9451
3,High,type1,1,2718
2,Low,type2,3,7309
1,Low,type2,2,2599
4,Low,type3,1,8696
3,Low,type3,1,9787
4,High,type1,0,7736
3,Low,type3,2,3324
5,High,type2,3,8588
3,Low,type1,0,9267
5,Low,type3,3,498
6,Low,type2,1,3126
2,High,type1,2,4919
2,Low,type3,0,6468
5,High,type3,2,687
2,Low,type2,1,6680
1,High,type3,2,5515
4,High,type3,3,7964
3,Low,type3,3,3524
5,High,type2,3,7662
6,Low,type3,3,1481
3,Low,type1,0,383
6,High,type2,3,7487
2,Low,type3,0,8091
5,High,type2,3,6660
1,Low,type1,0,210
1,Low,type1,0,8201
2,High,type2,0,5055
1,Low,type2,2,8831
5,High,type1,3,563
4,Low,type3,2,5471
5,High,type2,2,2704
4,Low,type3,3,5477
2,High,type1,3,9372
4,Low,type2,3,4397
6,Low,type1,2,5422
4,High,type1,3,8221
4,High,type1,2,6663
1,High,type1,0,1402
3,Low,type2,1,2341
2,High,type1,2,978
3,High,type3,1,4868
2,Low,type3,2,1048
3,Low,type1,2,3964
2,Low,type2,3,7562
3,High,type3,2,3118
4,Low,type1,2,6495
2,Low,type1,1,43
6,Low,type3,2,1738
5,Low,type3,3,7053
3,High,type2,2,7871
