householdID,householdSize,householdIncome,householdType,numberOfCars
0,3,Low,type1,2
1,2,Low,type1,0
2,2,Low,type2,2
3,1,High,type1,0
4,1,High,type1,2
5,1,Low,type2,2
6,2,High,type2,1
7,1,Low,type3,0
8,1,Low,type2,1
9,2,Low,type2,1
10,2,High,type1,0
11,3,Low,type1,1
12,2,High,type3,0
13,1,High,type1,3
14,2,High,type3,1
15,3,High,type1,2
16,1,High,type2,0
17,3,High,type3,2
18,3,Low,type2,3
19,1,Low,type1,2
20,2,High,type1,3
21,2,High,type3,1
22,3,Low,type2,3
23,2,High,type3,2
24,2,High,type2,0
25,1,Low,type3,2
26,3,Low,type3,3
27,1,High,type1,1
28,3,High,type2,0
29,2,Low,type2,3
30,1,High,type1,1
31,2,Low,type3,1
32,2,High,type1,3
33,2,Low,type3,3
34,3,High,type1,0
35,3,Low,type3,0
36,1,Low,type3,1
37,3,High,type3,3
38,2,Low,type1,0
39,1,Low,type2,0
40,3,High,type2,0
41,3,Low,type2,2
42,2,High,type2,2
43,3,Low,type1,0
44,1,High,type1,1
45,1,High,type1,0
46,3,Low,type1,1
47,2,High,type3,1
48,2,High,type3,3
49,1,Low,type3,3
50,2,Low,type3,1
51,2,High,type1,2
52,1,Low,type2,1
53,1,High,type1,2
54,3,High,type3,2
55,1,Low,type1,1
56,3,High,type1,2
57,3,Low,type3,2
58,1,High,type1,0
59,1,High,type3,3
60,2,Low,type3,0
61,3,High,type1,1
62,3,Low,type2,2
63,1,Low,type2,3
64,3,High,type1,3
65,3,High,type3,3
66,3,Low,type1,3
67,3,Low,type3,0
68,1,Low,type2,1
69,3,Low,type1,2
70,1,High,type3,0
71,2,Low,type2,3
72,3,Low,type2,0
73,2,High,type1,1
74,2,High,type2,3
75,1,High,type3,0
76,2,High,type3,0
77,1,Low,type2,3
78,1,Low,type1,0
79,1,High,type2,0
80,2,High,type1,2
81,2,High,type2,3
82,3,High,type3,1
83,2,High,type2,2
84,3,Low,type3,2
85,2,Low,type3,0
86,1,High,type1,3
87,2,High,type2,1
88,3,Low,type1,3
89,2,Low,type3,2
90,3,High,type3,3
91,1,Low,type3,2
92,2,Low,type3,1
93,3,Low,type2,3
94,3,High,type2,1
95,3,Low,type2,2
96,3,High,type3,1
97,2,High,type1,0
98,1,Low,type1,2
99,3,Low,type3,2
100,1,Low,type2,2
101,2,High,type2,2
